date,rank,song_title,artist,genres
2020-08-01,70.0,Mood Swings,Pop Smoke,"['brooklyn drill', 'rap']"
2020-08-01,71.0,Why We Drink,Justin Moore,"['arkansas country', 'contemporary country', 'country', 'country road']"
2020-08-01,72.0,Lovin' On You,Luke Combs,"['contemporary country', 'country']"
2020-08-01,73.0,Cool Again,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']"
2020-08-01,74.0,The Scotts,"THE SCOTTS, Travis Scott",[]
2020-08-01,75.0,Something Special,Pop Smoke,"['brooklyn drill', 'rap']"
2020-08-01,76.0,Need It,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2020-08-01,77.0,Tell Me U Luv Me,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,78.0,Up Up And Away,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,79.0,Fighting Demons,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,80.0,More Than My Hometown,Morgan Wallen,['contemporary country']
2020-08-01,81.0,B.S.,Jhene Aiko,['r&b']
2020-08-01,82.0,After Party,Don Toliver,"['pop rap', 'rap', 'trap']"
2020-08-01,83.0,Past Life,Trevor Daniel,['melodic rap']
2020-08-01,84.0,ily,Surf Mesa,['pop edm']
2020-08-01,85.0,Girl Of My Dreams,Rod Wave,['florida rap']
2020-08-01,86.0,One Beer,HARDY,"['contemporary country', 'modern country pop']"
2020-08-01,87.0,3 Headed Goat,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
2020-08-01,88.0,Does To Me,Luke Combs,"['contemporary country', 'country']"
2020-08-01,89.0,Man Of The Year,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,90.0,Bang!,AJR,['pov: indie']
2020-08-01,91.0,One Night Standards,Ashley McBryde,"['arkansas country', 'contemporary country', 'country', 'country road']"
2020-08-01,92.0,Can't Die,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,93.0,Chicago Freestyle,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2020-08-01,94.0,Flex,Polo G,"['chicago rap', 'rap']"
2020-08-01,95.0,Screw Juice,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,96.0,Dollaz On My Head,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2020-08-01,97.0,Breaking Me,Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']"
2020-08-01,98.0,Enjoy Yourself,Pop Smoke,"['brooklyn drill', 'rap']"
2020-08-01,99.0,Pretty Heart,Parker McCollum,"['classic texas country', 'contemporary country', 'modern country pop', 'texas country']"
2020-08-01,100.0,The Climb Back,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
