date,rank,song_title,artist,genres
2019-08-03,1.0,Old Town Road,Lil Nas,['lgbtq+ hip hop']
2019-08-03,2.0,Bad Guy,Billie Eilish,"['art pop', 'pop']"
2019-08-03,3.0,Senorita,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2019-08-03,4.0,Talk,Khalid,"['pop', 'pop r&b']"
2019-08-03,5.0,Truth Hurts,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
2019-08-03,6.0,I Don't Care,Ed Sheeran,[]
2019-08-03,7.0,Goodbyes,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2019-08-03,8.0,Sucker,Jonas Brothers,"['boy band', 'pop']"
2019-08-03,9.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2019-08-03,10.0,If I Can't Have You,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2019-08-03,11.0,No Guidance,Chris Brown,"['r&b', 'rap']"
2019-08-03,12.0,Suge,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2019-08-03,13.0,Money In The Grave,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2019-08-03,14.0,The Git Up,Blanco Brown,"['black americana', 'country rap']"
2019-08-03,15.0,You Need To Calm Down,Taylor Swift,['pop']
2019-08-03,16.0,"Hey Look Ma, I Made It",Panic! At The Disco,"['modern rock', 'pop']"
2019-08-03,17.0,Dancing With A Stranger,Sam Smith,"['pop', 'uk pop']"
2019-08-03,18.0,Wow.,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
,,Ran$om,Lil Tecca,[]
2019-08-03,20.0,Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']"
2019-08-03,21.0,God's Country,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
2019-08-03,22.0,Without Me,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
2019-08-03,23.0,The London,"Young Thug, J. Cole","['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2019-08-03,24.0,Beer Never Broke My Heart,Luke Combs,"['contemporary country', 'country']"
2019-08-03,25.0,Beautiful People,Ed Sheeran,[]
2019-08-03,26.0,Pop Out,Polo G,"['chicago rap', 'rap']"
2019-08-03,27.0,Happier,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']"
2019-08-03,28.0,Panini,Lil Nas,['lgbtq+ hip hop']
2019-08-03,29.0,How Do You Sleep?,Sam Smith,"['pop', 'uk pop']"
2019-08-03,30.0,Speechless,Dan + Shay,"['contemporary country', 'country', 'country road']"
2019-08-03,31.0,Sweet But Psycho,Ava Ma,['pop']
2019-08-03,32.0,Never Really Over,Katy Perry,['pop']
2019-08-03,33.0,7 Rings,Ariana Grande,['pop']
2019-08-03,34.0,High Hopes,Panic! At The Disco,"['modern rock', 'pop']"
2019-08-03,35.0,Whiskey Glasses,Morgan Wallen,['contemporary country']
2019-08-03,36.0,Shotta Flow,NLE Choppa,"['memphis hip hop', 'rap']"
2019-08-03,37.0,My Type,Saweetie,"['cali rap', 'trap queen']"
2019-08-03,38.0,Knockin' Boots,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2019-08-03,39.0,Rumor,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']"
2019-08-03,40.0,Act Up,City Girls,"['scam rap', 'trap queen']"
2019-08-03,41.0,All To Myself,Dan + Shay,"['contemporary country', 'country', 'country road']"
2019-08-03,42.0,Baby,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2019-08-03,43.0,Better,Khalid,"['pop', 'pop r&b']"
2019-08-03,44.0,GIRL,Maren Morris,"['classic texas country', 'contemporary country']"
2019-08-03,45.0,Going Bad,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2019-08-03,46.0,Sicko Mode,Travis Scott,"['hip hop', 'rap', 'slap house']"
2019-08-03,47.0,Shallow,Lady Gaga,"['art pop', 'dance pop', 'pop']"
2019-08-03,48.0,Con Calma,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
2019-08-03,49.0,Middle Child,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
2019-08-03,50.0,Clout,Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2019-08-03,51.0,Cash Shit,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2019-08-03,52.0,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna","['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
2019-08-03,53.0,Worth It,YK Osiris,"['melodic rap', 'trap']"
