date,rank,song_title,artist,genres
2016-07-02,1.0,One Dance,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,2.0,Can't Stop The Feeling!,Justin Timberlake,"['dance pop', 'pop']"
2016-07-02,3.0,Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
2016-07-02,4.0,Don't Let Me Down,The Chainsmokers,['pop']
2016-07-02,5.0,Work From Home,Fifth Harmony,"['girl group', 'pop', 'talent show']"
2016-07-02,6.0,This Is What You Came For,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
2016-07-02,7.0,Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-07-02,8.0,Cheap Thrills,Sia,"['australian dance', 'australian pop', 'pop']"
2016-07-02,9.0,I Took A Pill In Ibiza,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']"
,,Don't Mind,Kent Jones,[]
2016-07-02,11.0,7 Years,Lukas Graham,"['danish pop', 'scandipop']"
2016-07-02,12.0,Just Like Fire,P!nk,"['dance pop', 'pop']"
2016-07-02,13.0,Ride,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-07-02,14.0,Close,Nick Jonas,"['dance pop', 'pop']"
2016-07-02,15.0,Dangerous Woman,Ariana Grande,['pop']
2016-07-02,16.0,Work,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-07-02,17.0,H.O.L.Y.,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
2016-07-02,18.0,Me Too,Meghan Trainor,"['hip pop', 'pop']"
2016-07-02,19.0,Love Yourself,Justin Bieber,"['canadian pop', 'pop']"
2016-07-02,20.0,Send My Love (To Your New Lover),Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
2016-07-02,21.0,Stressed Out,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-07-02,22.0,Never Forget You,Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2016-07-02,23.0,Controlla,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,24.0,Lost Boy,Ruth B,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
2016-07-02,25.0,Cake By The Ocean,DNCE,"['dance pop', 'pop']"
2016-07-02,26.0,Pillowtalk,Zayn,"['pop', 'uk pop']"
2016-07-02,27.0,Let It Go,James Bay,"['neo mellow', 'pop', 'uk pop']"
2016-07-02,28.0,My House,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
2016-07-02,29.0,Too Good,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,30.0,Low Life,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2016-07-02,31.0,All The Way Up,"Fat Joe, Remy Ma","['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-07-02,32.0,"Me, Myself & I",G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
2016-07-02,33.0,Sorry,Justin Bieber,"['canadian pop', 'pop']"
2016-07-02,34.0,Oui,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
2016-07-02,35.0,Cut It,O.T. Genasis,"['southern hip hop', 'trap']"
2016-07-02,36.0,Never Be Like You,Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']"
2016-07-02,37.0,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,38.0,Sorry,Beyonce,"['pop', 'r&b']"
2016-07-02,39.0,Unsteady,,[]
2016-07-02,40.0,For Free,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2016-07-02,41.0,Humble And Kind,Tim McGraw,"['contemporary country', 'country', 'country road']"
2016-07-02,42.0,2 Phones,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-07-02,43.0,Wicked,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2016-07-02,44.0,Kill Em With Kindness,Selena Gomez,"['pop', 'post-teen pop']"
2016-07-02,45.0,Pop Style,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,46.0,Exchange,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']"
2016-07-02,47.0,T-Shirt,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,48.0,Church Bells,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
2016-07-02,49.0,Really Really,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-07-02,50.0,Into You,Ariana Grande,['pop']
2016-07-02,51.0,Uber Everywhere,MadeinTYO,"['atl hip hop', 'melodic rap', 'trap']"
2016-07-02,52.0,Wild Things,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2016-07-02,53.0,Lights Come On,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,54.0,No,Meghan Trainor,"['hip pop', 'pop']"
2016-07-02,55.0,I Hate U I Love U,gnash,"['alt z', 'pop']"
2016-07-02,56.0,Wake Up,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-07-02,57.0,Wasted Time,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,58.0,Somewhere On A Beach,Dierks Bentley,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,59.0,Head Over Boots,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,60.0,From The Ground Up,Dan + Shay,"['contemporary country', 'country', 'country road']"
2016-07-02,61.0,Record Year,Eric Church,"['contemporary country', 'country', 'country road']"
2016-07-02,62.0,Came Here To Forget,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,63.0,Treat You Better,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2016-07-02,64.0,Wherever I Go,OneRepublic,"['piano rock', 'pop']"
2016-07-02,65.0,Body,Dreezy,"['chicago rap', 'drill', 'trap queen']"
2016-07-02,66.0,The Sound Of Silence,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
2016-07-02,67.0,Gold,Kiiara,"['alt z', 'electropop']"
,,You Don't Own Me,Grace,[]
2016-07-02,69.0,Hype,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,70.0,Try Everything,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
2016-07-02,71.0,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner","['chicago rap', 'hip hop', 'rap']"
2016-07-02,72.0,Peter Pan,Kelsea Ballerini,"['contemporary country', 'country']"
2016-07-02,73.0,Childs Play,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,74.0,American Country Love Song,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,75.0,Make You Miss Me,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2016-07-02,76.0,THat Part,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-07-02,77.0,Messin' Around,Pitbull,"['dance pop', 'miami hip hop', 'pop']"
2016-07-02,78.0,Light It Up,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
2016-07-02,79.0,Still Here,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,80.0,Noise,Kenny Chesney,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,81.0,Think Of You,Chris Young Duet With Cassadee Pope,"['contemporary country', 'country', 'country road']"
2016-07-02,82.0,Grammys,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,83.0,"Sit Still, Look Pretty",Daya,"['alt z', 'pop']"
2016-07-02,84.0,Fix,Chris Lane,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,85.0,With You Tonight / Hasta El Amanecer,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
2016-07-02,86.0,We Don't Talk Anymore,Charlie Puth,"['pop', 'viral pop']"
,,Broccoli,D.R.A.M.,[]
2016-07-02,88.0,Hymn For The Weekend,Coldplay,"['permanent wave', 'pop']"
2016-07-02,89.0,Kiss It Better,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-07-02,90.0,Sweatshirt,Jacob Sartorius,"['social media pop', 'teen pop']"
2016-07-02,91.0,No Problem,Chance The Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-07-02,92.0,Money Longer,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
2016-07-02,93.0,With You,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-07-02,94.0,My PYT,Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
2016-07-02,95.0,Ophelia,The Lumineers,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']"
2016-07-02,96.0,Might Not,Belly,"['canadian hip hop', 'canadian trap']"
2016-07-02,97.0,Father Stretch My Hands Pt. 1,Kanye West,"['chicago rap', 'hip hop', 'rap']"
2016-07-02,98.0,Toothbrush,DNCE,"['dance pop', 'pop']"
2016-07-02,99.0,Different For Girls,Dierks Bentley,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-07-02,100.0,Faded,Alan Walker,['electro house']
