song_title,artist,genres,date,rank
Tombstone,Rod Wave,['florida rap'],2021-05-22,63.0
Almost Maybes,Jordan Davis,['contemporary country'],2021-05-22,64.0
Glad You Exist,Dan + Shay,"['contemporary country', 'country', 'country road']",2021-05-22,65.0
Quicksand,Morray,['pop rap'],2021-05-22,66.0
Hold On,Justin Bieber,"['canadian pop', 'pop']",2021-05-22,67.0
Follow You,Imagine Dragons,"['modern rock', 'pop', 'rock']",2021-05-22,68.0
One Too Many,Keith Urban Duet With P!nk,[],,
The Business,Tiesto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",2021-05-22,70.0
Blame It On You,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,71.0
Shottas (Lala),Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-05-22,72.0
Street Runner,Rod Wave,['florida rap'],2021-05-22,73.0
All I Know So Far,P!nk,"['dance pop', 'pop']",2021-05-22,74.0
Ramen & OJ,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",2021-05-22,75.0
Pick Up Your Feelings,Jazmine Sullivan,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",2021-05-22,76.0
Down To One,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,77.0
Arcade,Duncan Laurence,['dutch pop'],2021-05-22,78.0
Lady,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,79.0
Single Saturday Night,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,80.0
Hard For The Next,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-05-22,81.0
What You Need,Don Toliver,"['pop rap', 'rap', 'trap']",2021-05-22,82.0
La Noche de Anoche,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2021-05-22,83.0
Hello,Pop Smoke,"['brooklyn drill', 'rap']",2021-05-22,84.0
Way Less Sad,AJR,['pov: indie'],2021-05-22,85.0
Drankin N Smokin,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2021-05-22,86.0
4 Da Gang,42 Dugg,"['detroit trap', 'southern hip hop', 'trap']",2021-05-22,87.0
I Did It,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2021-05-22,88.0
Botella Tras Botella,Gera M,"['mexican hip hop', 'rap conciencia']",2021-05-22,89.0
Chasing After You,Ryan Hurd With Maren Morris,"['contemporary country', 'country pop', 'country road', 'modern country rock']",2021-05-22,90.0
Tampa,Cico P,['pop rap'],2021-05-22,91.0
Big Gangsta,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2021-05-22,92.0
Hellcats & Trackhawks,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2021-05-22,93.0
Let It Go,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2021-05-22,94.0
Country Again,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,95.0
Minimum Wage,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,96.0
Richer,Rod Wave,['florida rap'],2021-05-22,97.0
Drunk (And I Don't Wanna Go Home),Elle King,['modern blues rock'],2021-05-22,98.0
Headshot,"Lil Tjay, Polo G","['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",2021-05-22,99.0
Go!,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-05-22,100.0
