date,rank,song_title,artist,genres
2020-06-06,1.0,Rain On Me,Lady Gaga,"['art pop', 'dance pop', 'pop']"
2020-06-06,2.0,Savage,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2020-06-06,3.0,Rockstar,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2020-06-06,4.0,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2020-06-06,5.0,Say So,Doja Cat,"['dance pop', 'pop']"
2020-06-06,6.0,Toosie Slide,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2020-06-06,7.0,Don't Start Now,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2020-06-06,8.0,The Box,Roddy Ricch,"['melodic rap', 'rap', 'trap']"
2020-06-06,9.0,Intentions,Justin Bieber,"['canadian pop', 'pop']"
2020-06-06,10.0,Life Is Good,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2020-06-06,11.0,Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2020-06-06,12.0,Adore You,Harry Styles,['pop']
2020-06-06,13.0,The Bones,Maren Morris,"['classic texas country', 'contemporary country']"
2020-06-06,14.0,Roses,SAINt JHN,"['melodic rap', 'slap house']"
2020-06-06,15.0,Stuck With U,Ariana Grande,['pop']
2020-06-06,16.0,Blueberry Faygo,Lil Mosey,"['melodic rap', 'rap conscient']"
2020-06-06,17.0,The Scotts,"THE SCOTTS, Travis Scott",[]
2020-06-06,18.0,Chasin' You,Morgan Wallen,['contemporary country']
2020-06-06,19.0,I Hope,Gabby Barrett,['contemporary country']
2020-06-06,20.0,Does To Me,Luke Combs,"['contemporary country', 'country']"
2020-06-06,21.0,Falling,Trevor Daniel,['melodic rap']
2020-06-06,22.0,Gooba,6i,['emo rap']
2020-06-06,23.0,High Fashion,Roddy Ricch,"['melodic rap', 'rap', 'trap']"
2020-06-06,24.0,Sunday Best,Surfaces,['bedroom soul']
2020-06-06,25.0,Whats Poppin,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
2020-06-06,26.0,Death Bed,Powfu,"['sad lo-fi', 'sad rap']"
2020-06-06,27.0,Party Girl,StaySolidRocky,['melodic rap']
2020-06-06,28.0,Nobody But You,Blake Shelton Duet With Gwen Stefani,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
2020-06-06,29.0,I Hope You're Happy Now,Carly Pearce,"['contemporary country', 'country', 'country road']"
2020-06-06,30.0,Before You Go,Lewis Capaldi,"['pop', 'uk pop']"
2020-06-06,31.0,My Oh My,Camila Cabello,"['dance pop', 'pop']"
2020-06-06,32.0,In Your Eyes,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2020-06-06,33.0,After A Few,Travis Denning,"['contemporary country', 'country pop', 'modern country pop', 'modern country rock']"
2020-06-06,34.0,Break My Heart,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2020-06-06,35.0,Everything I Wanted,Billie Eilish,"['art pop', 'pop']"
2020-06-06,36.0,Memories,Maroon 5,['pop']
2020-06-06,37.0,Hard To Forget,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2020-06-06,38.0,Dollaz On My Head,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2020-06-06,39.0,Be Kind,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']"
2020-06-06,40.0,Beer Can't Fix,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
2020-06-06,41.0,Cooler Than A Bitch,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2020-06-06,42.0,RITMO (Bad Boys For Life),Black Eyed Peas,"['dance pop', 'pop', 'pop rap']"
2020-06-06,43.0,Hot Girl Bummer,blackbear,['pop']
2020-06-06,44.0,Supalonely,BENEE,"['alt z', 'nz pop']"
2020-06-06,45.0,Watermelon Sugar,Harry Styles,['pop']
2020-06-06,46.0,Walk Em Down,NLE Choppa,"['memphis hip hop', 'rap']"
2020-06-06,47.0,One Margarita,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2020-06-06,48.0,Dance Monkey,Tones And I,['australian pop']
2020-06-06,49.0,Flex,Polo G,"['chicago rap', 'rap']"
2020-06-06,50.0,Sum 2 Prove,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2020-06-06,51.0,Bluebird,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
2020-06-06,52.0,Go Crazy,Chris Brown,"['r&b', 'rap']"
2020-06-06,53.0,Heartless,Diplo Presents Thomas Wesley,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
2020-06-06,54.0,Emotionally Scarred,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2020-06-06,55.0,Top Floor,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2020-06-06,56.0,Dior,Pop Smoke,"['brooklyn drill', 'rap']"
