date,rank,song_title,artist,genres
2016-12-03,1.0,Black Beatles,Rae Sremmurd ,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']"
2016-12-03,2.0,Closer,The Chainsmokers ,['pop']
2016-12-03,3.0,Starboy,The Weeknd ,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2016-12-03,4.0,Side To Side,Ariana Grande ,['pop']
2016-12-03,5.0,Heathens,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-12-03,6.0,24K Magic,Bruno Mars,"['dance pop', 'pop']"
2016-12-03,7.0,Let Me Love You,DJ Snake ,"['edm', 'electronic trap', 'pop', 'pop dance']"
2016-12-03,8.0,Juju On That Beat (TZ Anthem),Zay Hilfigerrr ,['viral trap']
,,Broccoli,D.R.A.M. ,Need Manual Check
2016-12-03,10.0,Don't Wanna Know,Maroon 5 ,['pop']
2016-12-03,11.0,I Hate U I Love U,gnash ,"['alt z', 'pop']"
2016-12-03,12.0,Caroline,Amine,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
2016-12-03,13.0,Cold Water,Major Lazer ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
2016-12-03,14.0,Fake Love,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-12-03,15.0,Starving,Hailee Steinfeld ,['pop']
2016-12-03,16.0,Treat You Better,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2016-12-03,17.0,Scars To Your Beautiful,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2016-12-03,18.0,Can't Stop The Feeling!,Justin Timberlake,"['dance pop', 'pop']"
2016-12-03,19.0,Cheap Thrills,Sia ,"['australian dance', 'australian pop', 'pop']"
2016-12-03,20.0,The Greatest,Sia ,"['australian dance', 'australian pop', 'pop']"
2016-12-03,21.0,Unsteady,,[]
2016-12-03,22.0,OOOUUU,Young M.A,"['alternative r&b', 'lgbtq+ hip hop', 'nyc rap', 'rap', 'trap']"
2016-12-03,23.0,Don't Let Me Down,The Chainsmokers ,['pop']
2016-12-03,24.0,Blue Ain't Your Color,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,25.0,This Is What You Came For,Calvin Harris ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
2016-12-03,26.0,In The Name Of Love,Martin Garri,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
2016-12-03,27.0,Gold,Kiiara,"['alt z', 'electropop']"
2016-12-03,28.0,Ride,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-12-03,29.0,Chill Bill,Rob $tone ,"['san diego rap', 'viral trap']"
2016-12-03,30.0,May We All,Florida Georgia Line ,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
2016-12-03,31.0,Used To This,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2016-12-03,32.0,Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-12-03,33.0,One Dance,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-12-03,34.0,Do You Mind,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2016-12-03,35.0,All Time Low,Jon Bellion,['indie pop rap']
2016-12-03,36.0,X,21 Savage ,"['atl hip hop', 'hip hop', 'rap']"
2016-12-03,37.0,Sucker For Pain,"Lil Wayne, Wiz Khalifa ","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
2016-12-03,38.0,Tiimmy Turner,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
2016-12-03,39.0,Send My Love (To Your New Lover),Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
2016-12-03,40.0,Luv,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
2016-12-03,41.0,Love Me Now,John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
2016-12-03,42.0,Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
2016-12-03,43.0,No Problem,Chance The Rapper ,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-12-03,44.0,Sneakin',Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
,,Pick Up The Phone,Young Thug And Travis Scott ,Need Manual Check
,,Bad Things,Machine Gun Kelly ,Need Manual Check
2016-12-03,47.0,Mercy,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2016-12-03,48.0,Too Good,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-12-03,49.0,We Don't Talk Anymore,Charlie Puth ,"['pop', 'viral pop']"
2016-12-03,50.0,Love On The Brain,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-12-03,51.0,Sleep Without You,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,52.0,Middle Of A Memory,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']"
,,1 Night,Lil Yachty,Need Manual Check
2016-12-03,54.0,A Little More Summertime,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,55.0,Come And See Me,PARTYNE,"['r&b', 'rap', 'urban contemporary']"
2016-12-03,56.0,Hallelujah,Pentatoni,"['a cappella', 'viral pop']"
2016-12-03,57.0,You Was Right,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
2016-12-03,58.0,Setting The World On Fire,Kenny Chesney ,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,59.0,Hallelujah,Leonard Cohen,"['canadian singer-songwriter', 'melancholia', 'permanent wave', 'singer-songwriter']"
2016-12-03,60.0,Bounce Back,Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
2016-12-03,61.0,This Town,Niall Horan,['pop']
2016-12-03,62.0,Song For Another Time,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,63.0,Too Much Sauce,DJ ESCO ,"['atl hip hop', 'trap']"
2016-12-03,64.0,Wanna Be That Song,Brett Eldredge,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,65.0,No Heart,21 Savage ,"['atl hip hop', 'hip hop', 'rap']"
2016-12-03,66.0,Fade,Kanye West,"['chicago rap', 'hip hop', 'rap']"
2016-12-03,67.0,Fresh Eyes,Andy Grammer,"['neo mellow', 'post-teen pop', 'viral pop']"
2016-12-03,68.0,All We Know,The Chainsmokers ,['pop']
2016-12-03,69.0,Me And Your Mama,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
2016-12-03,70.0,Better Man,Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']"
2016-12-03,71.0,Dirty Laundry,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
2016-12-03,72.0,Look Alive,Rae Sremmurd,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']"
2016-12-03,73.0,Move,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-12-03,74.0,My Way,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
2016-12-03,75.0,Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']"
2016-12-03,76.0,Bad And Boujee,Migos ,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-12-03,77.0,We The People....,A Tribe Called Quest,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
2016-12-03,78.0,HandClap,Fitz And The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']"
2016-12-03,79.0,Ain't My Fault,Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2016-12-03,80.0,Capsize,Frenship ,"['electropop', 'indie poptimism', 'la pop']"
