song_title,artist,genres,date,rank
Made For You,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,66.0
4 Da Gang,42 Dugg ,"['detroit trap', 'southern hip hop', 'trap']",2021-04-17,67.0
Breaking Up Was Easy In The 90's,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2021-04-17,68.0
Hellcats & Trackhawks,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2021-04-17,69.0
Lemon Pepper Freestyle,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-04-17,70.0
Settling Down,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']",2021-04-17,71.0
Masterpiece,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",2021-04-17,72.0
Quicksand,Morray,['pop rap'],2021-04-17,73.0
The Business,Tiesto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",2021-04-17,74.0
La Noche de Anoche,Bad Bunny ,"['reggaeton', 'trap latino', 'urbano latino']",2021-04-17,75.0
Hard For The Next,Moneybagg Yo ,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-04-17,76.0
Down To One,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,77.0
Almost Maybes,Jordan Davis,['contemporary country'],2021-04-17,78.0
Pick Up Your Feelings,Jazmine Sullivan,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",2021-04-17,79.0
Wasted On You,Morgan Wallen,['contemporary country'],2021-04-17,80.0
Film Out,BTS,"['k-pop', 'k-pop boy group', 'pop']",2021-04-17,81.0
Big Purr (Prrdd),Coi Leray ,"['new jersey underground rap', 'trap queen']",2021-04-17,82.0
Real As It Gets,Lil Baby ,"['atl hip hop', 'atl trap', 'rap', 'trap']",2021-04-17,83.0
Body,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",2021-04-17,84.0
Glad You Exist,Dan + Shay,"['contemporary country', 'country', 'country road']",2021-04-17,85.0
Monsters,All Time Low ,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']",2021-04-17,86.0
