date,rank,song_title,artist,genres
2016-08-06,1.0,Cheap Thrills,Sia ,"['australian dance', 'australian pop', 'pop']"
2016-08-06,2.0,One Dance,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-08-06,3.0,This Is What You Came For,Calvin Harris ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
2016-08-06,4.0,Can't Stop The Feeling!,Justin Timberlake,"['dance pop', 'pop']"
2016-08-06,5.0,Don't Let Me Down,The Chainsmokers ,['pop']
2016-08-06,6.0,Ride,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-08-06,7.0,Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
,,Don't Mind,Kent Jones,Need Manual Check
2016-08-06,9.0,Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
2016-08-06,10.0,Send My Love (To Your New Lover),Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
2016-08-06,11.0,Rise,Katy Perry,['pop']
2016-08-06,12.0,Just Like Fire,P!nk,"['dance pop', 'pop']"
2016-08-06,13.0,Work From Home,Fifth Harmony ,"['girl group', 'pop', 'talent show']"
2016-08-06,14.0,Me Too,Meghan Trainor,"['hip pop', 'pop']"
2016-08-06,15.0,H.O.L.Y.,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
2016-08-06,16.0,I Took A Pill In Ibiza,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']"
2016-08-06,17.0,Make Me...,Britney Spears ,"['dance pop', 'pop']"
2016-08-06,18.0,Controlla,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-08-06,19.0,For Free,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2016-08-06,20.0,Too Good,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-08-06,21.0,Treat You Better,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2016-08-06,22.0,Heathens,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-08-06,23.0,Work,Rihanna ,"['barbadian pop', 'pop', 'urban contemporary']"
2016-08-06,24.0,Into You,Ariana Grande,['pop']
2016-08-06,25.0,Never Be Like You,Flume ,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']"
2016-08-06,26.0,7 Years,Lukas Graham,"['danish pop', 'scandipop']"
2016-08-06,27.0,We Don't Talk Anymore,Charlie Puth ,"['pop', 'viral pop']"
2016-08-06,28.0,All In My Head (Flex),Fifth Harmony ,"['girl group', 'pop', 'talent show']"
2016-08-06,29.0,Stressed Out,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2016-08-06,30.0,I Got The Keys,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2016-08-06,31.0,Sorry,Beyonce,"['pop', 'r&b']"
2016-08-06,32.0,Let It Go,James Bay,"['neo mellow', 'pop', 'uk pop']"
2016-08-06,33.0,Low Life,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
,,Broccoli,D.R.A.M. ,Need Manual Check
2016-08-06,35.0,I Hate U I Love U,gnash ,"['alt z', 'pop']"
2016-08-06,36.0,Dangerous Woman,Ariana Grande,['pop']
2016-08-06,37.0,Love Yourself,Justin Bieber,"['canadian pop', 'pop']"
2016-08-06,38.0,My House,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
2016-08-06,39.0,Cake By The Ocean,DNCE,"['dance pop', 'pop']"
2016-08-06,40.0,Gold,Kiiara,"['alt z', 'electropop']"
2016-08-06,41.0,Close,Nick Jonas ,"['dance pop', 'pop']"
2016-08-06,42.0,THat Part,ScHoolboy Q ,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-08-06,43.0,Lost Boy,Ruth B,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
2016-08-06,44.0,Wicked,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2016-08-06,45.0,Sorry,Justin Bieber,"['canadian pop', 'pop']"
2016-08-06,46.0,All The Way Up,"Fat Joe, Remy Ma ","['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-08-06,47.0,Vice,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
2016-08-06,48.0,From The Ground Up,Dan + Shay,"['contemporary country', 'country', 'country road']"
2016-08-06,49.0,Never Forget You,Zara Larsson ,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2016-08-06,50.0,Kill Em With Kindness,Selena Gomez,"['pop', 'post-teen pop']"
2016-08-06,51.0,Hymn For The Weekend,Coldplay,"['permanent wave', 'pop']"
2016-08-06,52.0,Church Bells,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
2016-08-06,53.0,Record Year,Eric Church,"['contemporary country', 'country', 'country road']"
2016-08-06,54.0,Toothbrush,DNCE,"['dance pop', 'pop']"
2016-08-06,55.0,Head Over Boots,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,56.0,Wherever I Go,OneRepublic,"['piano rock', 'pop']"
2016-08-06,57.0,My PYT,Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
2016-08-06,58.0,Lights Come On,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,59.0,Peter Pan,Kelsea Ballerini,"['contemporary country', 'country']"
2016-08-06,60.0,Make You Miss Me,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2016-08-06,61.0,Unsteady,,[]
2016-08-06,62.0,Luv,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
2016-08-06,63.0,No Limit,Usher ,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
2016-08-06,64.0,"Sit Still, Look Pretty",Daya,"['alt z', 'pop']"
2016-08-06,65.0,Fix,Chris Lane,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,66.0,Different For Girls,Dierks Bentley ,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,67.0,American Country Love Song,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,68.0,Girls Talk Boys,5 Seconds Of Summer,"['boy band', 'pop']"
2016-08-06,69.0,Uber Everywhere,MadeinTYO,"['atl hip hop', 'melodic rap', 'trap']"
2016-08-06,70.0,Wake Up,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-08-06,71.0,Famous,Kanye West,"['chicago rap', 'hip hop', 'rap']"
2016-08-06,72.0,Pop Style,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-08-06,73.0,Lockjaw,French Montana ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-08-06,74.0,Money Longer,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
2016-08-06,75.0,She's Got A Way With Words,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,76.0,Wasted Time,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,77.0,With You Tonight / Hasta El Amanecer,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
2016-08-06,78.0,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,79.0,Sucker For Pain,"Lil Wayne, Wiz Khalifa ","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
2016-08-06,80.0,You & Me,Marc E. Bassy ,"['indie pop rap', 'pop r&b']"
2016-08-06,81.0,Mama Said,Lukas Graham,"['danish pop', 'scandipop']"
2016-08-06,82.0,Brand New,Ben Rector,"['acoustic pop', 'indiecoustica', 'lds youth', 'neo mellow', 'piano rock']"
,,Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe ,Need Manual Check
2016-08-06,84.0,Body Say,Demi Lovato,"['pop', 'post-teen pop']"
2016-08-06,85.0,No,Meghan Trainor,"['hip pop', 'pop']"
2016-08-06,86.0,M.I.L.F. $,Fergie,"['dance pop', 'pop']"
2016-08-06,87.0,Why You Always Hatin?,YG ,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
,,Night's On Fire,David Nail,Need Manual Check
2016-08-06,89.0,No Shopping,French Montana ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2016-08-06,90.0,A Little More Summertime,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
2016-08-06,91.0,You Was Right,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
2016-08-06,92.0,Light It Up,Major Lazer ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
2016-08-06,93.0,No Problem,Chance The Rapper ,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2016-08-06,94.0,Ophelia,The Lumineers,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']"
2016-08-06,95.0,Childs Play,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2016-08-06,96.0,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,"['atl hip hop', 'trap']"
2016-08-06,97.0,Sex With Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
2016-08-06,98.0,Come And See Me,PARTYNE,"['r&b', 'rap', 'urban contemporary']"
2016-08-06,99.0,Body,Dreezy ,"['chicago rap', 'drill', 'trap queen']"
2016-08-06,100.0,Lush Life,Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
