date,rank,song_title,artist,genres
2019-06-08,1.0,Old Town Road,Lil Nas ,['lgbtq+ hip hop']
2019-06-08,2.0,Bad Guy,Billie Eilish,"['art pop', 'pop']"
2019-06-08,3.0,Talk,Khalid,"['pop', 'pop r&b']"
2019-06-08,4.0,I Don't Care,Ed Sheeran ,[]
2019-06-08,5.0,Sucker,Jonas Brothers,"['boy band', 'pop']"
2019-06-08,6.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2019-06-08,7.0,Wow.,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2019-06-08,8.0,Dancing With A Stranger,Sam Smith ,"['pop', 'uk pop']"
2019-06-08,9.0,Suge,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2019-06-08,10.0,Sweet But Psycho,Ava Ma,['pop']
2019-06-08,11.0,ME!,Taylor Swift ,['pop']
2019-06-08,12.0,The London,"Young Thug, J. Cole ","['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2019-06-08,13.0,Without Me,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
2019-06-08,14.0,7 Rings,Ariana Grande,['pop']
2019-06-08,15.0,If I Can't Have You,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
2019-06-08,16.0,Happier,Marshmello ,"['brostep', 'edm', 'pop', 'progressive electro house']"
2019-06-08,17.0,Whiskey Glasses,Morgan Wallen,['contemporary country']
2019-06-08,18.0,Middle Child,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
2019-06-08,19.0,High Hopes,Panic! At The Disco,"['modern rock', 'pop']"
2019-06-08,20.0,God's Country,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
2019-06-08,21.0,EARFQUAKE,"Tyler, The Creator","['hip hop', 'rap']"
2019-06-08,22.0,Con Calma,Daddy Yankee ,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
2019-06-08,23.0,Going Bad,Meek Mill ,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2019-06-08,24.0,Eastside,"benny blanco, Halsey ",['pop']
2019-06-08,25.0,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,['pop']
2019-06-08,26.0,Truth Hurts,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
2019-06-08,27.0,Pop Out,Polo G ,"['chicago rap', 'rap']"
2019-06-08,28.0,Look Back At It,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']"
2019-06-08,29.0,Nightmare,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
2019-06-08,30.0,Pure Water,Mustard ,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2019-06-08,31.0,Act Up,City Girls,"['scam rap', 'trap queen']"
2019-06-08,32.0,Sicko Mode,Travis Scott,"['hip hop', 'rap', 'slap house']"
2019-06-08,33.0,Better,Khalid,"['pop', 'pop r&b']"
2019-06-08,34.0,Cross Me,Ed Sheeran ,[]
2019-06-08,35.0,Please Me,Cardi B ,"['pop', 'rap']"
2019-06-08,36.0,Good As You,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']"
2019-06-08,37.0,Shallow,Lady Gaga ,"['art pop', 'dance pop', 'pop']"
2019-06-08,38.0,Envy Me,Calboy,"['chicago rap', 'melodic rap']"
2019-06-08,39.0,Beer Never Broke My Heart,Luke Combs,"['contemporary country', 'country']"
2019-06-08,40.0,"Hey Look Ma, I Made It",Panic! At The Disco,"['modern rock', 'pop']"
2019-06-08,41.0,Rumor,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']"
2019-06-08,42.0,When The Party's Over,Billie Eilish,"['art pop', 'pop']"
2019-06-08,43.0,Wish Wish,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2019-06-08,44.0,Look What God Gave Her,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
2019-06-08,45.0,Beautiful Crazy,Luke Combs,"['contemporary country', 'country']"
2019-06-08,46.0,Speechless,Dan + Shay,"['contemporary country', 'country', 'country road']"
2019-06-08,47.0,Close Friends,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2019-06-08,48.0,Easier,5 Seconds Of Summer,"['boy band', 'pop']"
2019-06-08,49.0,A Lot,21 Savage,"['atl hip hop', 'hip hop', 'rap']"
2019-06-08,50.0,Thotiana,Blueface,"['cali rap', 'rap', 'trap']"
2019-06-08,51.0,Bury A Friend,Billie Eilish,"['art pop', 'pop']"
2019-06-08,52.0,Miss Me More,Kelsea Ballerini,"['contemporary country', 'country']"
2019-06-08,53.0,Go Loko,"YG, Tyga ","['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2019-06-08,54.0,Eyes On You,Chase Rice,"['contemporary country', 'country', 'country road', 'modern country rock']"
