date,rank,song_title,artist,genres
2020-07-18,1.0,Rockstar,DaBaby ,['Hip Hop']
2020-07-18,2.0,Blinding Lights,The Weeknd,['Pop']
2020-07-18,3.0,Whats Poppin,Jack Harlow ,['Hip Hop']
2020-07-18,4.0,Savage,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2020-07-18,5.0,Roses,SAINt JHN,
2020-07-18,6.0,For The Night,Pop Smoke ,['Hip Hop']
2020-07-18,7.0,Watermelon Sugar,Harry Styles,['Pop']
2020-07-18,8.0,Blueberry Faygo,Lil Mosey,
2020-07-18,9.0,Say So,Doja Cat ,['Pop']
2020-07-18,10.0,Intentions,Justin Bieber ,['Pop']
2020-07-18,11.0,The Woo,Pop Smoke ,['Hip Hop']
2020-07-18,12.0,Adore You,Harry Styles,['Pop']
2020-07-18,13.0,Circles,Post Malone,"['Pop', 'Hip Hop']"
2020-07-18,14.0,We Paid,Lil Baby ,['Hip Hop']
2020-07-18,15.0,Don't Start Now,Dua Lipa,['Pop']
2020-07-18,16.0,Rain On Me,Lady Gaga ,['Pop']
2020-07-18,17.0,Break My Heart,Dua Lipa,['Pop']
2020-07-18,18.0,The Bones,Maren Morris,
2020-07-18,19.0,One Margarita,Luke Bryan,['Country']
2020-07-18,20.0,The Bigger Picture,Lil Baby,['Hip Hop']
2020-07-18,21.0,The Box,Roddy Ricch,['Hip Hop']
2020-07-18,22.0,Dior,Pop Smoke,['Hip Hop']
2020-07-18,23.0,I Hope,Gabby Barrett ,
2020-07-18,24.0,Life Is Good,Future ,['Hip Hop']
2020-07-18,25.0,Falling,Trevor Daniel,
2020-07-18,26.0,Before You Go,Lewis Capaldi,['Pop']
2020-07-18,27.0,Hard To Forget,Sam Hunt,['Country']
2020-07-18,28.0,Go Crazy,Chris Brown ,"['R&B', 'Hip Hop']"
2020-07-18,29.0,Savage Love (Laxed - Siren Beat),Jawsh 685 ,
2020-07-18,30.0,Sunday Best,Surfaces,
2020-07-18,31.0,Got It On Me,Pop Smoke,['Hip Hop']
2020-07-18,32.0,Death Bed,Powfu ,
2020-07-18,33.0,Bluebird,Miranda Lambert,['Country']
2020-07-18,34.0,Aim For The Moon,Pop Smoke ,['Hip Hop']
2020-07-18,35.0,Chasin' You,Morgan Wallen,
2020-07-18,36.0,Party Girl,StaySolidRocky,
2020-07-18,37.0,Gangstas,Pop Smoke,['Hip Hop']
2020-07-18,38.0,Toosie Slide,Drake,['Hip Hop']
2020-07-18,39.0,44 Bulldog,Pop Smoke,['Hip Hop']
