date,rank,song_title,artist,genres
2017-04-22,1.0,Shape Of You,Ed Sheeran,['Pop']
2017-04-22,2.0,Humble.,Kendrick Lamar,['Hip Hop']
2017-04-22,3.0,That's What I Like,Bruno Mars,['Pop']
2017-04-22,4.0,iSpy,KYLE ,
2017-04-22,5.0,Something Just Like This,The Chainsmokers ,['Pop']
2017-04-22,6.0,Body Like A Back Road,Sam Hunt,['Country']
2017-04-22,7.0,I Feel It Coming,The Weeknd ,['Pop']
2017-04-22,8.0,Tunnel Vision,Kodak Black,['Hip Hop']
2017-04-22,9.0,Paris,The Chainsmokers,['Pop']
2017-04-22,10.0,Rockabye,Clean Bandit ,['Pop']
2017-04-22,11.0,Mask Off,Future,['Hip Hop']
2017-04-22,12.0,Bad And Boujee,Migos ,['Hip Hop']
2017-04-22,13.0,It Ain't Me,Kygo ,"['Electronic/Dance', 'Pop']"
2017-04-22,14.0,Stay,Zedd ,"['Electronic/Dance', 'Pop']"
2017-04-22,15.0,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,['Pop']
2017-04-22,16.0,XO TOUR Llif3,Lil Uzi Vert,['Hip Hop']
2017-04-22,17.0,Say You Won't Let Go,James Arthur,['Pop']
2017-04-22,18.0,Love On The Brain,Rihanna,['Pop']
2017-04-22,19.0,Chained To The Rhythm,Katy Perry ,['Pop']
2017-04-22,20.0,Bounce Back,Big Sean,"['R&B', 'Hip Hop']"
2017-04-22,21.0,Closer,The Chainsmokers ,['Pop']
2017-04-22,22.0,Issues,Julia Michaels,['Pop']
2017-04-22,23.0,Passionfruit,Drake,['Hip Hop']
2017-04-22,24.0,Location,Khalid,['Pop']
2017-04-22,25.0,Congratulations,Post Malone ,"['Pop', 'Hip Hop']"
2017-04-22,26.0,T-Shirt,Migos,['Hip Hop']
2017-04-22,27.0,24K Magic,Bruno Mars,['Pop']
2017-04-22,28.0,Cold,Maroon 5 ,['Pop']
2017-04-22,29.0,Swang,Rae Sremmurd,['Hip Hop']
2017-04-22,30.0,Scars To Your Beautiful,Alessia Cara,['Pop']
2017-04-22,31.0,Fake Love,Drake,['Hip Hop']
2017-04-22,32.0,Can't Stop The Feeling!,Justin Timberlake,['Pop']
2017-04-22,33.0,Mercy,Shawn Mendes,['Pop']
2017-04-22,34.0,Look At Me!,,
2017-04-22,35.0,Down,Marian Hill,
2017-04-22,36.0,Portland,Drake ,['Hip Hop']
2017-04-22,37.0,Starboy,The Weeknd ,['Pop']
2017-04-22,38.0,The Fighter,Keith Urban ,['Country']
2017-04-22,39.0,Rolex,Ayo ,
