date,rank,song_title,artist,genres,simplified_genre
2016-10-01,1.0,Closer,The Chainsmokers ,['pop'],Pop
2016-10-01,2.0,Heathens,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Rock
2016-10-01,3.0,Cold Water,Major Lazer ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Pop
2016-10-01,4.0,Cheap Thrills,Sia ,"['australian dance', 'australian pop', 'pop']",Electronic/Dance
2016-10-01,5.0,Don't Let Me Down,The Chainsmokers ,['pop'],Pop
2016-10-01,6.0,Let Me Love You,DJ Snake ,"['edm', 'electronic trap', 'pop', 'pop dance']",Electronic/Dance
2016-10-01,7.0,This Is What You Came For,Calvin Harris ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Pop
2016-10-01,8.0,Treat You Better,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Pop
2016-10-01,9.0,Ride,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Rock
2016-10-01,10.0,Send My Love (To Your New Lover),Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Pop
2016-10-01,11.0,Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Pop
2016-10-01,13.0,We Don't Talk Anymore,Charlie Puth ,"['pop', 'viral pop']",Pop
2016-10-01,14.0,One Dance,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-10-01,15.0,Perfect Illusion,Lady Gaga,"['art pop', 'dance pop', 'pop']",Pop
2016-10-01,16.0,Too Good,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-10-01,17.0,Into You,Ariana Grande,['pop'],Pop
2016-10-01,18.0,Can't Stop The Feeling!,Justin Timberlake,"['dance pop', 'pop']",Pop
2016-10-01,19.0,Side To Side,Ariana Grande ,['pop'],Pop
2016-10-01,20.0,Gold,Kiiara,"['alt z', 'electropop']",Pop
2016-10-01,21.0,Luv,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",Hip Hop
