date,rank,song_title,artist,genres
2020-06-20,1.0,Rockstar,DaBaby ,['Hip Hop']
2020-06-20,2.0,Savage,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2020-06-20,3.0,Blinding Lights,The Weeknd,['Pop']
2020-06-20,4.0,Say So,Doja Cat ,['Pop']
2020-06-20,5.0,Intentions,Justin Bieber ,['Pop']
2020-06-20,6.0,Toosie Slide,Drake,['Hip Hop']
2020-06-20,7.0,Roses,SAINt JHN,
2020-06-20,8.0,Don't Start Now,Dua Lipa,['Pop']
2020-06-20,9.0,The Box,Roddy Ricch,['Hip Hop']
2020-06-20,10.0,Rain On Me,Lady Gaga ,['Pop']
2020-06-20,11.0,Circles,Post Malone,"['Pop', 'Hip Hop']"
2020-06-20,12.0,Blueberry Faygo,Lil Mosey,
2020-06-20,13.0,The Bones,Maren Morris,
2020-06-20,14.0,Adore You,Harry Styles,['Pop']
2020-06-20,15.0,Life Is Good,Future ,['Hip Hop']
2020-06-20,16.0,Whats Poppin,Jack Harlow ,['Hip Hop']
2020-06-20,17.0,Falling,Trevor Daniel,
2020-06-20,18.0,I Hope,Gabby Barrett ,
2020-06-20,19.0,Sunday Best,Surfaces,
2020-06-20,20.0,Stuck With U,Ariana Grande ,['Pop']
2020-06-20,21.0,Party Girl,StaySolidRocky,
2020-06-20,22.0,Chasin' You,Morgan Wallen,
2020-06-20,23.0,Death Bed,Powfu ,
2020-06-20,24.0,High Fashion,Roddy Ricch ,['Hip Hop']
2020-06-20,25.0,The Scotts,"THE SCOTTS, Travis Scott ",
2020-06-20,26.0,Break My Heart,Dua Lipa,['Pop']
2020-06-20,27.0,Before You Go,Lewis Capaldi,['Pop']
2020-06-20,28.0,Does To Me,Luke Combs ,['Country']
2020-06-20,29.0,Watermelon Sugar,Harry Styles,['Pop']
2020-06-20,30.0,Hard To Forget,Sam Hunt,['Country']
2020-06-20,31.0,I Hope You're Happy Now,Carly Pearce ,['Country']
2020-06-20,32.0,Memories,Maroon 5,['Pop']
2020-06-20,33.0,Be Kind,Marshmello ,"['Electronic/Dance', 'Pop']"
2020-06-20,34.0,We Paid,Lil Baby ,['Hip Hop']
2020-06-20,35.0,After A Few,Travis Denning,
2020-06-20,36.0,Everything I Wanted,Billie Eilish,['Pop']
2020-06-20,37.0,Go Crazy,Chris Brown ,"['R&B', 'Hip Hop']"
2020-06-20,38.0,Nobody But You,Blake Shelton Duet With Gwen Stefani,['Country']
2020-06-20,39.0,One Margarita,Luke Bryan,['Country']
2020-06-20,40.0,My Oh My,Camila Cabello ,['Pop']
2020-06-20,41.0,Heartless,Diplo Presents Thomas Wesley ,['Electronic/Dance']
2020-06-20,42.0,Supalonely,BENEE ,
2020-06-20,43.0,Gooba,6i,
2020-06-20,44.0,Walk Em Down,NLE Choppa ,['Hip Hop']
2020-06-20,45.0,Bluebird,Miranda Lambert,['Country']
2020-06-20,46.0,Hot Girl Bummer,blackbear,['Pop']
2020-06-20,47.0,Emotionally Scarred,Lil Baby,['Hip Hop']
2020-06-20,48.0,Dior,Pop Smoke,['Hip Hop']
2020-06-20,49.0,Here And Now,Kenny Chesney,['Country']
2020-06-20,50.0,Dance Monkey,Tones And I,
2020-06-20,51.0,Beer Can't Fix,Thomas Rhett ,['Country']
2020-06-20,52.0,Chicago Freestyle,Drake ,['Hip Hop']
2020-06-20,53.0,If The World Was Ending,JP Sa,
2020-06-20,54.0,In Your Eyes,The Weeknd,['Pop']
2020-06-20,55.0,Out West,JACKBOYS ,
