date,rank,song_title,artist,genres
2019-02-16,1,7 Rings,Ariana Grande,['Pop']
2019-02-16,2,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2019-02-16,3,Without Me,Halsey,['Pop']
2019-02-16,4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['Pop', 'Hip Hop']"
2019-02-16,5,Sicko Mode,Travis Scott,['Hip Hop']
2019-02-16,6,High Hopes,Panic! At The Disco,['Pop']
2019-02-16,7,"Thank U, Next",Ariana Grande,['Pop']
2019-02-16,8,Middle Child,J. Cole,['Hip Hop']
2019-02-16,9,Wow.,Post Malone,"['Pop', 'Hip Hop']"
2019-02-16,10,Girls Like You,Maroon 5 ,['Pop']
2019-02-16,11,Eastside,"benny blanco, Halsey ",['Pop']
2019-02-16,12,A Lot,21 Savage,['Hip Hop']
2019-02-16,13,Drip Too Hard,Lil Baby ,['Hip Hop']
2019-02-16,14,Bury A Friend,Billie Eilish,['Pop']
2019-02-16,15,Going Bad,Meek Mill ,['Hip Hop']
2019-02-16,16,Money,Cardi B,"['Pop', 'Hip Hop']"
2019-02-16,17,ZEZE,Kodak Black ,['Hip Hop']
2019-02-16,18,Better,Khalid,['Pop']
2019-02-16,19,MIA,Bad Bunny ,
2019-02-16,20,Thotiana,Blueface,['Hip Hop']
2019-02-16,21,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2019-02-16,22,Wake Up In The Sky,Gucci Mane ,['Hip Hop']
2019-02-16,23,Youngblood,5 Seconds Of Summer,['Pop']
2019-02-16,24,Shallow,Lady Gaga ,['Pop']
2019-02-16,25,Leave Me Alone,Flipp Dinero,
2019-02-16,26,Dancing With A Stranger,Sam Smith ,['Pop']
2019-02-16,27,Mo Bamba,Sheck Wes,['Hip Hop']
2019-02-16,28,Alone,Marshmello,"['Electronic/Dance', 'Pop']"
2019-02-16,29,Taki Taki,DJ Snake ,"['Electronic/Dance', 'Pop']"
2019-02-16,30,Sweet But Psycho,Ava Ma,['Pop']
2019-02-16,31,Tequila,Dan + Shay,['Country']
2019-02-16,32,Look Back At It,A Boogie Wit da Hoodie,['Hip Hop']
2019-02-16,33,Close To Me,Ellie Goulding ,['Pop']
