date,rank,song_title,artist,genres
2021-03-13,1.0,Drivers License,Olivia Rodrigo,['Pop']
2021-03-13,2.0,Up,Cardi B,"['Pop', 'Hip Hop']"
2021-03-13,3.0,Blinding Lights,The Weeknd,['Pop']
2021-03-13,4.0,34+35,Ariana Grande,['Pop']
2021-03-13,5.0,Go Crazy,Chris Brown ,"['R&B', 'Hip Hop']"
2021-03-13,6.0,Save Your Tears,The Weeknd,['Pop']
2021-03-13,7.0,Mood,24kGoldn ,
2021-03-13,8.0,Calling My Phone,Lil Tjay ,['Hip Hop']
2021-03-13,9.0,What You Know Bout Love,Pop Smoke,['Hip Hop']
2021-03-13,10.0,Levitating,Dua Lipa ,['Pop']
2021-03-13,11.0,Positions,Ariana Grande,['Pop']
2021-03-13,12.0,Therefore I Am,Billie Eilish,['Pop']
2021-03-13,13.0,Back In Blood,Pooh Shiesty ,
2021-03-13,14.0,For The Night,Pop Smoke ,['Hip Hop']
2021-03-13,15.0,Beat Box,SpotemGottem ,
2021-03-13,16.0,Dakiti,Bad Bunny ,
2021-03-13,17.0,You Broke Me First.,Tate McRae,['Pop']
2021-03-13,18.0,Whoopty,CJ,
2021-03-13,19.0,You're Mines Still,Yung Bleu ,
2021-03-13,20.0,Good Time,Niko Moon,
,,My Ex's Best Friend,Machine Gun Kelly ,
2021-03-13,22.0,Best Friend,Saweetie ,
2021-03-13,23.0,Good Days,SZA,"['Pop', 'R&B', 'Hip Hop']"
2021-03-13,24.0,I Hope,Gabby Barrett ,
2021-03-13,25.0,On Me,Lil Baby,['Hip Hop']
2021-03-13,26.0,Streets,Doja Cat,['Pop']
2021-03-13,27.0,Better Together,Luke Combs,['Country']
2021-03-13,28.0,Throat Baby (Go Baby),BRS Kash,
2021-03-13,29.0,Holy,Justin Bieber ,['Pop']
2021-03-13,30.0,Put Your Records On,Ritt Momney,
2021-03-13,31.0,Anyone,Justin Bieber,['Pop']
2021-03-13,32.0,Willow,Taylor Swift,['Pop']
2021-03-13,33.0,Just The Way,Parmalee ,
2021-03-13,34.0,Without You,The Kid LAROI,
2021-03-13,35.0,Bang!,AJR,
2021-03-13,36.0,Down To One,Luke Bryan,['Country']
2021-03-13,37.0,No More Parties,Coi Leray ,
2021-03-13,38.0,Lemonade,Internet Money ,
2021-03-13,39.0,Telepatia,Kali Uchis,
2021-03-13,40.0,The Good Ones,Gabby Barrett,
2021-03-13,41.0,Lonely,Justin Bieber ,['Pop']
2021-03-13,42.0,Cry Baby,Megan Thee Stallion ,"['Pop', 'R&B', 'Hip Hop']"
2021-03-13,43.0,Dynamite,BTS,['Pop']
2021-03-13,44.0,What's Your Country Song,Thomas Rhett,['Country']
2021-03-13,45.0,My Head And My Heart,Ava Ma,['Pop']
2021-03-13,46.0,Damage,H.E.R.,"['R&B', 'Hip Hop']"
2021-03-13,47.0,Laugh Now Cry Later,Drake ,['Hip Hop']
2021-03-13,48.0,Starting Over,Chris Stapleton,
2021-03-13,49.0,Astronaut In The Ocean,Masked Wolf,
2021-03-13,50.0,Time Today,Moneybagg Yo,['Hip Hop']
2021-03-13,51.0,We're Good,Dua Lipa,['Pop']
2021-03-13,52.0,Long Live,Florida Georgia Line,['Country']
2021-03-13,53.0,Beers And Sunshine,Darius Rucker,['Country']
2021-03-13,54.0,Heartbreak Anniversary,Giveon,['R&B']
2021-03-13,55.0,Monsters,All Time Low ,
2021-03-13,56.0,Body,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2021-03-13,57.0,Buss It,Erica Banks,
2021-03-13,58.0,Goosebumps,Travis Scott ,['Hip Hop']
2021-03-13,59.0,Golden,Harry Styles,['Pop']
2021-03-13,60.0,Lady,Brett Young,['Country']
2021-03-13,61.0,Heat Waves,Glass Animals,
2021-03-13,62.0,Wasted On You,Morgan Wallen,
2021-03-13,63.0,La Noche de Anoche,Bad Bunny ,
2021-03-13,64.0,AP,Pop Smoke,['Hip Hop']
2021-03-13,65.0,Forever After All,Luke Combs,['Country']
2021-03-13,66.0,Track Star,Mooski,
2021-03-13,67.0,Momma's House,Dustin Lynch,['Country']
2021-03-13,68.0,Sand In My Boots,Morgan Wallen,
2021-03-13,69.0,Girl Like Me,Black Eyed Peas ,['Pop']
2021-03-13,70.0,Hell Of A View,Eric Church,['Country']
2021-03-13,71.0,Lifestyle,Jason Derulo ,['Pop']
2021-03-13,72.0,Masterpiece,DaBaby,['Hip Hop']
2021-03-13,73.0,Somebody Like That,Tenille Arts,
2021-03-13,74.0,Only Wanna Be With You,Post Malone,"['Pop', 'Hip Hop']"
,,One Too Many,Keith Urban Duet With P!nk,
2021-03-13,76.0,Neighbors,Pooh Shiesty ,
2021-03-13,77.0,You Got It,VEDO,
2021-03-13,78.0,Tyler Herro,Jack Harlow,['Hip Hop']
2021-03-13,79.0,Finesse Out The Gang Way,Lil Durk ,['Hip Hop']
2021-03-13,80.0,Opp Stoppa,YBN Nahmir ,['Hip Hop']
2021-03-13,81.0,The Business,Tiesto,['Electronic/Dance']
2021-03-13,82.0,Bandido,Myke Towers ,
2021-03-13,83.0,Quicksand,Morray,
