date,rank,song_title,artist,genres
2020-05-23,1.0,Stuck With U,Ariana Grande ,['Pop']
2020-05-23,2.0,Say So,Doja Cat ,['Pop']
2020-05-23,3.0,Gooba,6i,
2020-05-23,4.0,Blinding Lights,The Weeknd,['Pop']
2020-05-23,5.0,Savage,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2020-05-23,6.0,Toosie Slide,Drake,['Hip Hop']
2020-05-23,7.0,The Box,Roddy Ricch,['Hip Hop']
2020-05-23,8.0,Rockstar,DaBaby ,['Hip Hop']
2020-05-23,9.0,Don't Start Now,Dua Lipa,['Pop']
2020-05-23,10.0,Circles,Post Malone,"['Pop', 'Hip Hop']"
2020-05-23,11.0,Intentions,Justin Bieber ,['Pop']
2020-05-23,12.0,Adore You,Harry Styles,['Pop']
2020-05-23,13.0,Life Is Good,Future ,['Hip Hop']
2020-05-23,14.0,The Bones,Maren Morris,
2020-05-23,15.0,The Scotts,"THE SCOTTS, Travis Scott ",
2020-05-23,16.0,Roses,SAINt JHN,
2020-05-23,17.0,My Oh My,Camila Cabello ,['Pop']
2020-05-23,18.0,Someone You Loved,Lewis Capaldi,['Pop']
2020-05-23,19.0,Everything I Wanted,Billie Eilish,['Pop']
2020-05-23,20.0,Blueberry Faygo,Lil Mosey,
2020-05-23,21.0,Chasin' You,Morgan Wallen,
2020-05-23,22.0,Falling,Trevor Daniel,
2020-05-23,23.0,I Hope,Gabby Barrett ,
2020-05-23,24.0,Memories,Maroon 5,['Pop']
2020-05-23,25.0,Nobody But You,Blake Shelton Duet With Gwen Stefani,['Country']
2020-05-23,26.0,High Fashion,Roddy Ricch ,['Hip Hop']
2020-05-23,27.0,Death Bed,Powfu ,
2020-05-23,28.0,Does To Me,Luke Combs ,['Country']
2020-05-23,29.0,Sunday Best,Surfaces,
2020-05-23,30.0,RITMO (Bad Boys For Life),Black Eyed Peas ,['Pop']
2020-05-23,31.0,Break My Heart,Dua Lipa,['Pop']
2020-05-23,32.0,Whats Poppin,Jack Harlow ,['Hip Hop']
2020-05-23,33.0,Be Kind,Marshmello ,"['Electronic/Dance', 'Pop']"
2020-05-23,34.0,I Hope You're Happy Now,Carly Pearce ,['Country']
2020-05-23,35.0,Hot Girl Bummer,blackbear,['Pop']
2020-05-23,36.0,Beer Can't Fix,Thomas Rhett ,['Country']
2020-05-23,37.0,Before You Go,Lewis Capaldi,['Pop']
2020-05-23,38.0,After A Few,Travis Denning,
2020-05-23,39.0,Supalonely,BENEE ,
2020-05-23,40.0,Heart On Ice,Rod Wave,
2020-05-23,41.0,Ballin',Mustard ,['Hip Hop']
2020-05-23,42.0,Dance Monkey,Tones And I,
2020-05-23,43.0,3 Headed Goat,Lil Durk ,['Hip Hop']
2020-05-23,44.0,Hard To Forget,Sam Hunt,['Country']
2020-05-23,45.0,Sum 2 Prove,Lil Baby,['Hip Hop']
2020-05-23,46.0,Chicago Freestyle,Drake ,['Hip Hop']
2020-05-23,47.0,Level Of Concern,twenty one pilots,"['Rock', 'Pop']"
2020-05-23,48.0,Party Girl,StaySolidRocky,
2020-05-23,49.0,Righteous,Juice WRLD,['Hip Hop']
2020-05-23,50.0,Can I,Kehlani ,"['Pop', 'R&B', 'Hip Hop']"
2020-05-23,51.0,Pain 1993,Drake ,['Hip Hop']
2020-05-23,52.0,Walk Em Down,NLE Choppa ,['Hip Hop']
2020-05-23,53.0,Dior,Pop Smoke,['Hip Hop']
2020-05-23,54.0,In Your Eyes,The Weeknd,['Pop']
