song_title,artist,genres,date,rank
Leave The Door Open,Silk Sonic (Bruno Mars ,,,
Levitating,Dua Lipa ,['Pop'],2021-05-22,2.0
Peaches,Justin Bieber ,['Pop'],2021-05-22,3.0
Save Your Tears,The Weeknd ,['Pop'],2021-05-22,4.0
Kiss Me More,Doja Cat ,['Pop'],2021-05-22,5.0
Astronaut In The Ocean,Masked Wolf,,2021-05-22,6.0
Rapstar,Polo G,['Hip Hop'],2021-05-22,7.0
interlude,J. Cole,['Hip Hop'],2021-05-22,8.0
Without You,The Kid LAROI,,2021-05-22,9.0
Montero (Call Me By Your Name),Lil Nas ,,2021-05-22,10.0
Miss The Rage,Trippie Redd ,['Hip Hop'],2021-05-22,11.0
Blinding Lights,The Weeknd,['Pop'],2021-05-22,12.0
Calling My Phone,Lil Tjay ,['Hip Hop'],2021-05-22,13.0
Up,Cardi B,"['Pop', 'Hip Hop']",2021-05-22,14.0
Beat Box,SpotemGottem ,,2021-05-22,15.0
Drivers License,Olivia Rodrigo,['Pop'],2021-05-22,16.0
Deja Vu,Olivia Rodrigo,['Pop'],2021-05-22,17.0
Beautiful Mistakes,Maroon 5 ,['Pop'],2021-05-22,18.0
Best Friend,Saweetie ,,2021-05-22,19.0
My Ex's Best Friend,Machine Gun Kelly ,,,
Every Chance I Get,DJ Khaled ,['Hip Hop'],2021-05-22,21.0
Forever After All,Luke Combs,['Country'],2021-05-22,22.0
Heartbreak Anniversary,Giveon,['R&B'],2021-05-22,23.0
Mood,24kGoldn ,,2021-05-22,24.0
On Me,Lil Baby,['Hip Hop'],2021-05-22,25.0
Back In Blood,Pooh Shiesty ,,2021-05-22,26.0
The Good Ones,Gabby Barrett,,2021-05-22,27.0
What You Know Bout Love,Pop Smoke,['Hip Hop'],2021-05-22,28.0
Your Power,Billie Eilish,['Pop'],2021-05-22,29.0
Hell Of A View,Eric Church,['Country'],2021-05-22,30.0
We're Good,Dua Lipa,['Pop'],2021-05-22,31.0
Breaking Up Was Easy In The 90's,Sam Hunt,['Country'],2021-05-22,32.0
Heat Waves,Glass Animals,,2021-05-22,33.0
Track Star,Mooski,,2021-05-22,34.0
Made For You,Jake Owen,['Country'],2021-05-22,35.0
34+35,Ariana Grande Feat. Doja Cat ,['Pop'],2021-05-22,36.0
Positions,Ariana Grande,['Pop'],2021-05-22,37.0
Wants And Needs,Drake ,['Hip Hop'],2021-05-22,38.0
You Broke Me First.,Tate McRae,['Pop'],2021-05-22,39.0
Telepatia,Kali Uchis,,2021-05-22,40.0
Time Today,Moneybagg Yo,['Hip Hop'],2021-05-22,41.0
Wockesha,Moneybagg Yo,['Hip Hop'],2021-05-22,42.0
Dakiti,Bad Bunny ,,2021-05-22,43.0
You're Mines Still,Yung Bleu ,,2021-05-22,44.0
Therefore I Am,Billie Eilish,['Pop'],2021-05-22,45.0
What's Your Country Song,Thomas Rhett,['Country'],2021-05-22,46.0
Goosebumps,Travis Scott ,['Hip Hop'],2021-05-22,47.0
No More Parties,Coi Leray ,,2021-05-22,48.0
Settling Down,Miranda Lambert,['Country'],2021-05-22,49.0
pov,Ariana Grande,['Pop'],2021-05-22,50.0
Ski,Young Thug ,['Hip Hop'],2021-05-22,51.0
What's Next,Drake,['Hip Hop'],2021-05-22,52.0
Higher Power,Coldplay,['Pop'],2021-05-22,53.0
Good Days,SZA,"['Pop', 'R&B', 'Hip Hop']",2021-05-22,54.0
Nobody,Dylan Scott,,2021-05-22,55.0
Never Left,Lil Tecca,['Hip Hop'],2021-05-22,56.0
Solid,Young Thug ,['Hip Hop'],2021-05-22,57.0
Streets,Doja Cat,['Pop'],2021-05-22,58.0
Gone,Dierks Bentley,['Country'],2021-05-22,59.0
Lil Bit,Nelly ,['Hip Hop'],2021-05-22,60.0
Famous Friends,Chris Young + Kane Brown,['Country'],2021-05-22,61.0
Just The Way,Parmalee ,,2021-05-22,62.0
Tombstone,Rod Wave,,2021-05-22,63.0
Almost Maybes,Jordan Davis,,2021-05-22,64.0
Glad You Exist,Dan + Shay,['Country'],2021-05-22,65.0
Quicksand,Morray,,2021-05-22,66.0
Hold On,Justin Bieber,['Pop'],2021-05-22,67.0
Follow You,Imagine Dragons,"['Rock', 'Pop']",2021-05-22,68.0
One Too Many,Keith Urban Duet With P!nk,,,
The Business,Tiesto,['Electronic/Dance'],2021-05-22,70.0
Blame It On You,Jason Aldean,['Country'],2021-05-22,71.0
Shottas (Lala),Moneybagg Yo,['Hip Hop'],2021-05-22,72.0
Street Runner,Rod Wave,,2021-05-22,73.0
All I Know So Far,P!nk,['Pop'],2021-05-22,74.0
Ramen & OJ,Joyner Lucas ,['Hip Hop'],2021-05-22,75.0
Pick Up Your Feelings,Jazmine Sullivan,['R&B'],2021-05-22,76.0
Down To One,Luke Bryan,['Country'],2021-05-22,77.0
Arcade,Duncan Laurence,,2021-05-22,78.0
Lady,Brett Young,['Country'],2021-05-22,79.0
Single Saturday Night,Cole Swindell,['Country'],2021-05-22,80.0
Hard For The Next,Moneybagg Yo ,['Hip Hop'],2021-05-22,81.0
What You Need,Don Toliver,['Hip Hop'],2021-05-22,82.0
La Noche de Anoche,Bad Bunny ,,2021-05-22,83.0
Hello,Pop Smoke ,['Hip Hop'],2021-05-22,84.0
Way Less Sad,AJR,,2021-05-22,85.0
Drankin N Smokin,Future ,['Hip Hop'],2021-05-22,86.0
4 Da Gang,42 Dugg ,,2021-05-22,87.0
I Did It,DJ Khaled ,['Hip Hop'],2021-05-22,88.0
Botella Tras Botella,Gera M,,2021-05-22,89.0
Chasing After You,Ryan Hurd With Maren Morris,,2021-05-22,90.0
Tampa,Cico P,,2021-05-22,91.0
Big Gangsta,Kevin Gates,['Hip Hop'],2021-05-22,92.0
Hellcats & Trackhawks,Lil Durk,['Hip Hop'],2021-05-22,93.0
Let It Go,DJ Khaled ,['Hip Hop'],2021-05-22,94.0
Country Again,Thomas Rhett,['Country'],2021-05-22,95.0
Minimum Wage,Blake Shelton,['Country'],2021-05-22,96.0
Richer,Rod Wave ,,2021-05-22,97.0
Drunk (And I Don't Wanna Go Home),Elle King ,,2021-05-22,98.0
Headshot,"Lil Tjay, Polo G ",['Hip Hop'],2021-05-22,99.0
Go!,Moneybagg Yo ,['Hip Hop'],2021-05-22,100.0
