date,rank,song_title,artist,genres
2020-01-18,1.0,The Box,Roddy Ricch,['Hip Hop']
2020-01-18,2.0,Yummy,Justin Bieber,['Pop']
2020-01-18,3.0,Circles,Post Malone,"['Pop', 'Hip Hop']"
2020-01-18,4.0,Memories,Maroon 5,['Pop']
2020-01-18,5.0,"10,000 Hours",Dan + Shay ,['Country']
2020-01-18,6.0,Someone You Loved,Lewis Capaldi,['Pop']
2020-01-18,7.0,Dance Monkey,Tones And I,
2020-01-18,8.0,Good As Hell,Lizzo,['Pop']
2020-01-18,9.0,Roxanne,Arizona Zervas,
2020-01-18,10.0,Lose You To Love Me,Selena Gomez,['Pop']
2020-01-18,11.0,Ballin',Mustard ,['Hip Hop']
2020-01-18,12.0,BOP,DaBaby,['Hip Hop']
2020-01-18,13.0,HIGHEST IN THE ROOM,Travis Scott,['Hip Hop']
2020-01-18,14.0,Don't Start Now,Dua Lipa,['Pop']
2020-01-18,15.0,No Guidance,Chris Brown ,"['R&B', 'Hip Hop']"
2020-01-18,16.0,Trampoline,SHAED,
2020-01-18,17.0,Heartless,The Weeknd,['Pop']
2020-01-18,18.0,Senorita,Shawn Mendes ,['Pop']
2020-01-18,19.0,Everything I Wanted,Billie Eilish,['Pop']
2020-01-18,20.0,Truth Hurts,Lizzo,['Pop']
2020-01-18,21.0,Hot,Young Thug ,['Hip Hop']
2020-01-18,22.0,Woah,Lil Baby,['Hip Hop']
2020-01-18,23.0,Panini,Lil Nas ,
2020-01-18,24.0,Adore You,Harry Styles,['Pop']
2020-01-18,25.0,Only Human,Jonas Brothers,['Pop']
2020-01-18,26.0,The Bones,Maren Morris,
2020-01-18,27.0,One Man Band,Old Dominion,['Country']
2020-01-18,28.0,Bandit,Juice WRLD ,['Hip Hop']
2020-01-18,29.0,Hot Girl Bummer,blackbear,['Pop']
2020-01-18,30.0,Futsal Shuffle 2020,Lil Uzi Vert,['Hip Hop']
2020-01-18,31.0,Even Though I'm Leaving,Luke Combs,['Country']
2020-01-18,32.0,I Don't Care,Ed Sheeran ,
2020-01-18,33.0,Bad Guy,Billie Eilish,['Pop']
2020-01-18,34.0,Sucker,Jonas Brothers,['Pop']
2020-01-18,35.0,High Fashion,Roddy Ricch ,['Hip Hop']
2020-01-18,36.0,Lover,Taylor Swift,['Pop']
2020-01-18,37.0,On Chill,Wale ,"['R&B', 'Hip Hop']"
2020-01-18,38.0,Falling,Trevor Daniel,
2020-01-18,39.0,Blinding Lights,The Weeknd,['Pop']
2020-01-18,40.0,What If I Never Get Over You,Lady Antebellum,['Country']
2020-01-18,41.0,Suicidal,YNW Melly ,['Hip Hop']
2020-01-18,42.0,Talk,Khalid,['Pop']
2020-01-18,43.0,Graveyard,Halsey,['Pop']
2020-01-18,44.0,My Oh My,Camila Cabello ,['Pop']
2020-01-18,45.0,Beautiful People,Ed Sheeran ,
2020-01-18,46.0,Old Town Road,Lil Nas ,
2020-01-18,47.0,Ridin' Roads,Dustin Lynch,['Country']
2020-01-18,48.0,Juicy,Doja Cat ,['Pop']
2020-01-18,49.0,Playing Games,Summer Walker,"['R&B', 'Hip Hop']"
2020-01-18,50.0,Suge,DaBaby,['Hip Hop']
2020-01-18,51.0,Heartache Medication,Jon Pardi,['Country']
2020-01-18,52.0,Out West,JACKBOYS ,
2020-01-18,53.0,VIBEZ,DaBaby,['Hip Hop']
2020-01-18,54.0,Kinfolks,Sam Hunt,['Country']
2020-01-18,55.0,Heat,Chris Brown ,"['R&B', 'Hip Hop']"
2020-01-18,56.0,Start Wit Me,Roddy Ricch ,['Hip Hop']
2020-01-18,57.0,Into The Unknown,Idina Menzel ,
2020-01-18,58.0,No Idea,Don Toliver,['Hip Hop']
2020-01-18,59.0,Heart On Ice,Rod Wave,
2020-01-18,60.0,U Played,MoneyBagg Yo ,['Hip Hop']
2020-01-18,61.0,South Of The Border,Ed Sheeran ,
2020-01-18,62.0,TOES,DaBaby ,['Hip Hop']
2020-01-18,63.0,Homesick,Kane Brown,['Country']
2020-01-18,64.0,Remember You Young,Thomas Rhett,['Country']
2020-01-18,65.0,I Hope,Gabby Barrett ,
2020-01-18,66.0,Take What You Want,Post Malone ,"['Pop', 'Hip Hop']"
