date,rank,song_title,artist,genres,simplified_genre
2016-04-16,1,Work,Rihanna ,"['barbadian pop', 'pop', 'urban contemporary']",Pop
2016-04-16,2,7 Years,Lukas Graham,"['danish pop', 'scandipop']",Pop
2016-04-16,3,No,Meghan Trainor,"['hip pop', 'pop']",Pop
2016-04-16,4,Pillowtalk,Zayn,"['pop', 'uk pop']",Pop
2016-04-16,5,Love Yourself,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-16,6,My House,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Pop
2016-04-16,7,Stressed Out,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Rock
2016-04-16,8,"Me, Myself & I",G-Eazy ,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Pop
2016-04-16,9,I Took A Pill In Ibiza,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",Pop
2016-04-16,10,Work From Home,Fifth Harmony ,"['girl group', 'pop', 'talent show']",Pop
2016-04-16,11,Cake By The Ocean,DNCE,"['dance pop', 'pop']",Pop
2016-04-16,12,Dangerous Woman,Ariana Grande,['pop'],Pop
2016-04-16,13,Sorry,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-16,14,Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",Pop
2016-04-16,15,Never Forget You,Zara Larsson ,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",Pop
2016-04-16,16,One Call Away,Charlie Puth,"['pop', 'viral pop']",Pop
2016-04-16,17,Hands To Myself,Selena Gomez,"['pop', 'post-teen pop']",Pop
2016-04-16,18,2 Phones,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,19,Hello,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Pop
2016-04-16,20,Roses,The Chainsmokers ,['pop'],Pop
2016-04-16,21,Oui,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Hip Hop
2016-04-16,22,Middle,DJ Snake ,"['edm', 'electronic trap', 'pop', 'pop dance']",Electronic/Dance
2016-04-16,23,Stitches,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Pop
2016-04-16,24,Don't,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",Hip Hop
2016-04-16,25,Don't Let Me Down,The Chainsmokers ,['pop'],Pop
2016-04-16,26,Down In The DM,Yo Gotti ,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Hip Hop
2016-04-16,27,Close,Nick Jonas ,"['dance pop', 'pop']",Pop
2016-04-16,28,Low Life,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,29,Exchange,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",Hip Hop
2016-04-16,30,Let It Go,James Bay,"['neo mellow', 'pop', 'uk pop']",Pop
2016-04-16,31,You Should Be Here,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,32,Jumpman,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-16,33,The Hills,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-16,34,Youth,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Pop
2016-04-16,35,Drunk On Your Love,Brett Eldredge,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,36,Summer Sixteen,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-16,37,Back To Sleep,Chris Brown,"['r&b', 'rap']",R&B
2016-04-16,38,Hotline Bling,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-16,39,Cheap Thrills,Sia ,"['australian dance', 'australian pop', 'pop']",Electronic/Dance
2016-04-16,40,679,Fetty Wap ,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,41,What Do You Mean?,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-16,42,Say It,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",Hip Hop
2016-04-16,43,Somewhere On A Beach,Dierks Bentley,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,44,Humble And Kind,Tim McGraw,"['contemporary country', 'country', 'country road']",Country
2016-04-16,45,Die A Happy Man,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,46,Like I'm Gonna Lose You,Meghan Trainor ,"['hip pop', 'pop']",Pop
2016-04-16,47,Lost Boy,Ruth B,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-16,48,Came Here To Forget,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,49,White Iverson,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2016-04-16,50,My Church,Maren Morris,"['classic texas country', 'contemporary country']",Country
2016-04-16,51,The Sound Of Silence,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",Hip Hop
2016-04-16,52,I Like The Sound Of That,Rascal Flatts,"['contemporary country', 'country', 'country road']",Country
2016-04-16,53,Think Of You,Chris Young Duet With Cassadee Pope,"['contemporary country', 'country', 'country road']",Country
2016-04-16,54,Really Really,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,55,Snapback,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,56,Confession,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Country
2016-04-16,57,Company,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-16,58,When We Were Young,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Pop
2016-04-16,59,Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Pop
2016-04-16,60,Wild Things,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-16,61,New Romantics,Taylor Swift,['pop'],Pop
2016-04-16,62,Cut It,O.T. Genasis ,"['southern hip hop', 'trap']",Hip Hop
2016-04-16,63,T-Shirt,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,64,That Don't Sound Like You,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,65,Try Everything,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Pop
2016-04-16,66,Best Friend,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",Hip Hop
2016-04-16,67,Promise,Kid Ink ,"['pop rap', 'rap', 'southern hip hop', 'trap']",Pop
2016-04-16,68,Sugar,Robin Schulz ,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",Electronic/Dance
2016-04-16,69,Jimmy Choo,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,70,Acquainted,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-16,71,Team,Iggy Azalea,"['australian hip hop', 'dance pop', 'pop']",Hip Hop
2016-04-16,72,Noise,Kenny Chesney,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,73,Like I Would,Zayn,"['pop', 'uk pop']",Pop
2016-04-16,74,Mind Reader,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,75,Stand By You,Rachel Platten,"['post-teen pop', 'viral pop']",Pop
2016-04-16,76,Beautiful Drug,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,77,Might Not,Belly ,"['canadian hip hop', 'canadian trap']",Hip Hop
2016-04-16,78,Might Be,DJ Luke Nasty,"['north carolina hip hop', 'trap']",Hip Hop
2016-04-16,79,Little Bit Of You,Chase Bryant,"['contemporary country', 'country road', 'modern country rock']",Country
2016-04-16,80,Heartbeat,Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']",Country
2016-04-16,81,Nobody To Blame,Chris Stapleton,"['contemporary country', 'outlaw country']",Country
2016-04-16,82,Piece By Piece,Kelly Clarkson,"['dance pop', 'pop', 'talent show']",Pop
2016-04-16,83,Saved,Ty Dolla $ign ,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",Hip Hop
2016-04-16,84,Light It Up,Major Lazer ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Pop
2016-04-16,85,Head Over Boots,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,86,I Know What You Did Last Summer,Shawn Mendes ,"['canadian pop', 'pop', 'viral pop']",Pop
2016-04-16,87,With Them,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",Hip Hop
2016-04-16,88,Ride,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Rock
2016-04-16,89,Body,Dreezy ,"['chicago rap', 'drill', 'trap queen']",Hip Hop
2016-04-16,90,Home Alone Tonight,Luke Bryan ,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,91,All The Way Up,"Fat Joe, Remy Ma ","['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2016-04-16,92,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-16,93,Digits,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",Hip Hop
2016-04-16,94,Victorious,Panic! At The Disco,"['modern rock', 'pop']",Rock
2016-04-16,95,Moolah,Young Greatness,['new orleans rap'],Hip Hop
2016-04-16,96,Something In The Way You Move,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Pop
2016-04-16,97,New Level,A$AP Ferg ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-16,98,Fast Car,Jonas Blue ,"['pop', 'pop dance', 'tropical house', 'uk dance']",Pop
2016-04-16,99,Uber Everywhere,MadeinTYO,"['atl hip hop', 'melodic rap', 'trap']",Hip Hop
2016-04-16,100,Make Me Like You,Gwen Stefani,"['dance pop', 'pop']",Pop
