date,rank,song_title,artist,genres,simplified_genre
2019-09-14,1.0,Truth Hurts,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",Hip Hop
2019-09-14,2.0,Senorita,Shawn Mendes ,"['canadian pop', 'pop', 'viral pop']",Pop
2019-09-14,3.0,Bad Guy,Billie Eilish,"['art pop', 'pop']",Pop
2019-09-14,4.0,Ran$om,Lil Tecca,"['melodic rap', 'pluggnb', 'rap']",Hip Hop
2019-09-14,5.0,Old Town Road,Lil Nas ,['lgbtq+ hip hop'],Hip Hop
2019-09-14,6.0,No Guidance,Chris Brown ,"['r&b', 'rap']",R&B
2019-09-14,7.0,Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2019-09-14,8.0,I Don't Care,Ed Sheeran ,[],기타
2019-09-14,9.0,Talk,Khalid,"['pop', 'pop r&b']",Pop
2019-09-14,10.0,Goodbyes,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2019-09-14,11.0,Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",Pop
2019-09-14,12.0,You Need To Calm Down,Taylor Swift,['pop'],Pop
2019-09-14,13.0,Sucker,Jonas Brothers,"['boy band', 'pop']",Pop
2019-09-14,14.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2019-09-14,15.0,Money In The Grave,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2019-09-14,16.0,If I Can't Have You,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Pop
2019-09-14,17.0,Beautiful People,Ed Sheeran ,[],기타
2019-09-14,18.0,Suge,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2019-09-14,19.0,Boyfriend,Ariana Grande ,['pop'],Pop
2019-09-14,20.0,The Git Up,Blanco Brown,"['black americana', 'country rap']",Hip Hop
2019-09-14,21.0,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj ","['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",Hip Hop
2019-09-14,22.0,My Type,Saweetie,"['cali rap', 'trap queen']",Hip Hop
2019-09-14,23.0,Lover,Taylor Swift,['pop'],Pop
