date,rank,song_title,artist,genres,simplified_genre
2020-05-30,1,Savage,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",Hip Hop
2020-05-30,2,Say So,Doja Cat ,"['dance pop', 'pop']",Pop
2020-05-30,3,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2020-05-30,4,Rockstar,DaBaby ,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2020-05-30,5,Toosie Slide,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2020-05-30,6,Life Is Good,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,7,The Box,Roddy Ricch,"['melodic rap', 'rap', 'trap']",Hip Hop
2020-05-30,8,Don't Start Now,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Pop
2020-05-30,9,Intentions,Justin Bieber ,"['canadian pop', 'pop']",Pop
2020-05-30,10,Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2020-05-30,11,Gooba,6i,['emo rap'],Hip Hop
2020-05-30,12,Adore You,Harry Styles,['pop'],Pop
2020-05-30,13,Stuck With U,Ariana Grande ,['pop'],Pop
2020-05-30,14,The Bones,Maren Morris,"['classic texas country', 'contemporary country']",Country
2020-05-30,15,Roses,SAINt JHN,"['melodic rap', 'slap house']",Hip Hop
2020-05-30,16,The Scotts,"THE SCOTTS, Travis Scott ",[],기타
2020-05-30,17,Blueberry Faygo,Lil Mosey,"['melodic rap', 'rap conscient']",Hip Hop
2020-05-30,18,Chasin' You,Morgan Wallen,['contemporary country'],Country
2020-05-30,19,I Hope,Gabby Barrett ,['contemporary country'],Country
2020-05-30,20,Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",Pop
2020-05-30,21,Falling,Trevor Daniel,['melodic rap'],Hip Hop
2020-05-30,22,Does To Me,Luke Combs ,"['contemporary country', 'country']",Country
2020-05-30,23,Nobody But You,Blake Shelton Duet With Gwen Stefani,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",Country
2020-05-30,24,High Fashion,Roddy Ricch ,"['melodic rap', 'rap', 'trap']",Hip Hop
2020-05-30,25,My Oh My,Camila Cabello ,"['dance pop', 'pop']",Pop
2020-05-30,26,Sunday Best,Surfaces,['bedroom soul'],기타
2020-05-30,27,Everything I Wanted,Billie Eilish,"['art pop', 'pop']",Pop
2020-05-30,28,Whats Poppin,Jack Harlow ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Hip Hop
2020-05-30,29,Death Bed,Powfu ,"['sad lo-fi', 'sad rap']",Hip Hop
2020-05-30,30,Flex,Polo G ,"['chicago rap', 'rap']",Hip Hop
2020-05-30,31,Memories,Maroon 5,['pop'],Pop
2020-05-30,32,Solitaires,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,33,X,Jonas Brothers ,"['boy band', 'pop']",Pop
2020-05-30,34,Trillionaire,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,35,I Hope You're Happy Now,Carly Pearce ,"['contemporary country', 'country', 'country road']",Country
2020-05-30,36,Before You Go,Lewis Capaldi,"['pop', 'uk pop']",Pop
2020-05-30,37,After A Few,Travis Denning,"['contemporary country', 'country pop', 'modern country pop', 'modern country rock']",Country
2020-05-30,38,Party Girl,StaySolidRocky,['melodic rap'],Hip Hop
2020-05-30,39,Break My Heart,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Pop
2020-05-30,40,Daisies,Katy Perry,['pop'],Pop
2020-05-30,41,RITMO (Bad Boys For Life),Black Eyed Peas ,"['dance pop', 'pop', 'pop rap']",Pop
2020-05-30,42,Beer Can't Fix,Thomas Rhett ,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2020-05-30,43,Be Kind,Marshmello ,"['brostep', 'edm', 'pop', 'progressive electro house']",Electronic/Dance
2020-05-30,44,Hard To Forget,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",Country
2020-05-30,45,Supalonely,BENEE ,"['alt z', 'nz pop']",Pop
2020-05-30,46,Hot Girl Bummer,blackbear,['pop'],Pop
2020-05-30,47,Dance Monkey,Tones And I,['australian pop'],Pop
2020-05-30,48,One Margarita,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2020-05-30,49,Ballin',Mustard ,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,50,Heartless,Diplo Presents Thomas Wesley ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",Pop
2020-05-30,51,Sum 2 Prove,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-05-30,52,Walk Em Down,NLE Choppa ,"['memphis hip hop', 'rap']",Hip Hop
2020-05-30,53,Trapped In The Sun,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,54,All Bad,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-05-30,55,Bluebird,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']",Country
2020-05-30,56,Chicago Freestyle,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2020-05-30,57,Be Something,Polo G ,"['chicago rap', 'rap']",Hip Hop
2020-05-30,58,In Your Eyes,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2020-05-30,59,Dior,Pop Smoke,"['brooklyn drill', 'rap']",Hip Hop
2020-05-30,60,Emotionally Scarred,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-05-30,61,Martin & Gina,Polo G,"['chicago rap', 'rap']",Hip Hop
2020-05-30,62,21,Polo G,"['chicago rap', 'rap']",Hip Hop
2020-05-30,63,Righteous,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",Hip Hop
