date,rank,song_title,artist,genres
2018-11-24,1.0,"Thank U, Next",Ariana Grande,['Pop']
2018-11-24,2.0,Sicko Mode,Travis Scott,['Hip Hop']
2018-11-24,3.0,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2018-11-24,4.0,Without Me,Halsey,['Pop']
2018-11-24,5.0,Girls Like You,Maroon 5 ,['Pop']
2018-11-24,6.0,Lucid Dreams,Juice WRLD,['Hip Hop']
2018-11-24,7.0,Mo Bamba,Sheck Wes,['Hip Hop']
2018-11-24,8.0,High Hopes,Panic! At The Disco,['Pop']
2018-11-24,9.0,ZEZE,Kodak Black ,['Hip Hop']
2018-11-24,10.0,Drip Too Hard,Lil Baby ,['Hip Hop']
2018-11-24,11.0,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2018-11-24,12.0,Youngblood,5 Seconds Of Summer,['Pop']
2018-11-24,13.0,Natural,Imagine Dragons,"['Rock', 'Pop']"
2018-11-24,14.0,Breathin,Ariana Grande,['Pop']
2018-11-24,15.0,Taki Taki,DJ Snake ,"['Electronic/Dance', 'Pop']"
2018-11-24,16.0,BAD!,,
2018-11-24,17.0,Wake Up In The Sky,Gucci Mane ,['Hip Hop']
2018-11-24,18.0,Trip,Ella Mai,"['R&B', 'Hip Hop']"
2018-11-24,19.0,MIA,Bad Bunny ,
2018-11-24,20.0,Love Lies,Khalid ,['Pop']
2018-11-24,21.0,Eastside,"benny blanco, Halsey ",['Pop']
2018-11-24,22.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['Pop', 'Hip Hop']"
2018-11-24,23.0,God Is A Woman,Ariana Grande,['Pop']
2018-11-24,24.0,Shallow,Lady Gaga ,['Pop']
2018-11-24,25.0,Money,Cardi B,"['Pop', 'Hip Hop']"
2018-11-24,26.0,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2018-11-24,27.0,Taste,Tyga ,['Hip Hop']
2018-11-24,28.0,Lose It,Kane Brown,['Country']
2018-11-24,29.0,In My Feelings,Drake,['Hip Hop']
2018-11-24,30.0,Yes Indeed,Lil Baby ,['Hip Hop']
2018-11-24,31.0,Broken,lovelytheband,
2018-11-24,32.0,Beautiful,Bazzi ,['Pop']
2018-11-24,33.0,Nonstop,Drake,['Hip Hop']
2018-11-24,34.0,Uproar,Lil Wayne,['Hip Hop']
2018-11-24,35.0,She Got The Best Of Me ,Luke Combs,['Country']
2018-11-24,36.0,Tequila,Dan + Shay,['Country']
2018-11-24,37.0,Leave Me Alone,Flipp Dinero,
2018-11-24,38.0,Speechless,Dan + Shay,['Country']
2018-11-24,39.0,Ring,Cardi B ,"['Pop', 'Hip Hop']"
2018-11-24,40.0,Bohemian Rhapsody,Queen,['Rock']
2018-11-24,41.0,I Like Me Better,Lauv,['Pop']
2018-11-24,42.0,FEFE,6i,
2018-11-24,43.0,Boo'd Up,Ella Mai,"['R&B', 'Hip Hop']"
2018-11-24,44.0,Armed And Dangerous,Juice WRLD,['Hip Hop']
2018-11-24,45.0,Sad!,,
2018-11-24,46.0,Best Shot,Jimmie Allen,
2018-11-24,47.0,I'm A Mess,Bebe Re,['Pop']
2018-11-24,48.0,Psycho,Post Malone ,"['Pop', 'Hip Hop']"
2018-11-24,49.0,Big Bank,YG ,['Hip Hop']
2018-11-24,50.0,Lie,NF,['Hip Hop']
2018-11-24,51.0,Better,Khalid,['Pop']
2018-11-24,52.0,Topanga,Trippie Redd,['Hip Hop']
2018-11-24,53.0,Lost In Japan,Shawn Mendes ,['Pop']
2018-11-24,54.0,Drunk Me,Mitchell Tenpenny,
2018-11-24,55.0,1400 / 999 Freestyle,Trippie Redd ,['Hip Hop']
2018-11-24,56.0,10 Freaky Girls,Metro Boomin ,['Hip Hop']
2018-11-24,57.0,Dangerous,Meek Mill ,['Hip Hop']
2018-11-24,58.0,Close Friends,Lil Baby,['Hip Hop']
2018-11-24,59.0,When The Party's Over,Billie Eilish,['Pop']
2018-11-24,60.0,Arms Around You,,
,,That's On Me,Yella Beezy,
2018-11-24,62.0,Smile (Living My Best Life),Lil' Duval ,['Hip Hop']
2018-11-24,63.0,Don't Come Out The House,Metro Boomin ,['Hip Hop']
2018-11-24,64.0,You Say,Lauren Daigle,
2018-11-24,65.0,Fine China,Future ,['Hip Hop']
2018-11-24,66.0,Space Cadet,Metro Boomin ,['Hip Hop']
2018-11-24,67.0,Hangin' On,Chris Young,['Country']
2018-11-24,68.0,Rich,Maren Morris,
2018-11-24,69.0,No Stylist,French Montana ,['Hip Hop']
2018-11-24,70.0,Never Recover,Lil Baby ,['Hip Hop']
2018-11-24,71.0,I Love It,Kanye West ,['Hip Hop']
2018-11-24,72.0,Falling Down,Lil Peep ,
2018-11-24,73.0,Love Scars 3,Trippie Redd,['Hip Hop']
2018-11-24,74.0,Backin' It Up,Pardison Fontaine ,
2018-11-24,75.0,Burning Man,Dierks Bentley ,['Country']
2018-11-24,76.0,Blue Tacoma,Russell Dickerson,['Country']
2018-11-24,77.0,This Feeling,The Chainsmokers ,['Pop']
2018-11-24,78.0,Dip,Tyga ,['Hip Hop']
2018-11-24,79.0,Bad Liar,Imagine Dragons,"['Rock', 'Pop']"
2018-11-24,80.0,Talk To Me,Tory Lanez ,"['R&B', 'Hip Hop']"
2018-11-24,81.0,Be Alright,Dean Lewis,['Pop']
2018-11-24,82.0,W O R K I N  M E,Quavo,['Hip Hop']
2018-11-24,83.0,Consequences,Camila Cabello,['Pop']
2018-11-24,84.0,Best Part,Daniel Caesar ,
2018-11-24,85.0,Always Remember Us This Way,Lady Gaga,['Pop']
2018-11-24,86.0,Ella Quiere Beber,Anuel AA ,
2018-11-24,87.0,Mona Lisa,Lil Wayne ,['Hip Hop']
2018-11-24,88.0,STOOPID,6i,
2018-11-24,89.0,Negative Energy,Trippie Redd ,['Hip Hop']
2018-11-24,90.0,Noticed,Lil Mosey,
2018-11-24,91.0,Sixteen,Thomas Rhett,['Country']
2018-11-24,92.0,Lucky You,Eminem ,['Hip Hop']
2018-11-24,93.0,Good Girl,Dustin Lynch,['Country']
2018-11-24,94.0,Desperate Man,Eric Church,['Country']
2018-11-24,95.0,Last Shot,Kip Moore,['Country']
2018-11-24,96.0,Millionaire,Chris Stapleton,
2018-11-24,97.0,I'll Never Love Again,Lady Gaga,['Pop']
2018-11-24,98.0,Toxic Waste,Trippie Redd,['Hip Hop']
2018-11-24,99.0,Drew Barrymore,Bryce Vine,
2018-11-24,100.0,Jackie Chan,Tiesto ,['Electronic/Dance']
