date,rank,song_title,artist,genres,simplified_genre
2018-04-07,1.0,God's Plan,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2018-04-07,2.0,Meant To Be,Bebe Re,"['dance pop', 'pop']",Pop
2018-04-07,3.0,Finesse,Bruno Mars ,"['dance pop', 'pop']",Pop
2018-04-07,4.0,Psycho,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2018-04-07,5.0,Perfect,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",Pop
2018-04-07,6.0,Look Alive,BlocBoy JB ,"['memphis hip hop', 'rap', 'tennessee hip hop', 'trap']",Hip Hop
2018-04-07,7.0,The Middle,"Zedd, Maren Morris ","['complextro', 'edm', 'german techno', 'pop', 'pop dance']",Electronic/Dance
2018-04-07,8.0,Freaky Friday,Lil Dicky ,"['comedy rap', 'indie pop rap', 'pop rap']",Hip Hop
2018-04-07,9.0,Sad!,,[],기타
2018-04-07,10.0,Havana,Camila Cabello ,"['dance pop', 'pop']",Pop
2018-04-07,11.0,Mine,Bazzi,['pop'],Pop
2018-04-07,12.0,Pray For Me,The Weeknd ,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2018-04-07,13.0,Stir Fry,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2018-04-07,14.0,Never Be The Same,Camila Cabello,"['dance pop', 'pop']",Pop
2018-04-07,15.0,Walk It Talk It,Migos ,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2018-04-07,16.0,All The Stars,Kendrick Lamar ,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Hip Hop
2018-04-07,17.0,Ric Flair Drip,Offset ,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2018-04-07,18.0,Plug Walk,Rich The Kid,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",Hip Hop
2018-04-07,19.0,Let You Down,NF,"['hip hop', 'pop rap']",Hip Hop
2018-04-07,20.0,New Rules,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Pop
2018-04-07,21.0,Rockstar,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2018-04-07,22.0,In My Blood,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Pop
2018-04-07,23.0,Whatever It Takes,Imagine Dragons,"['modern rock', 'pop', 'rock']",Rock
2018-04-07,24.0,Thunder,Imagine Dragons,"['modern rock', 'pop', 'rock']",Rock
2018-04-07,25.0,Him & I,G-Eazy ,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Pop
2018-04-07,26.0,Wait,Maroon 5,['pop'],Pop
2018-04-07,27.0,Lights Down Low,MA,"['singer-songwriter pop', 'teen pop', 'viral pop']",Pop
2018-04-07,28.0,Heaven,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",Country
2018-04-07,29.0,I Fall Apart,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2018-04-07,30.0,Friends,Marshmello ,"['brostep', 'edm', 'pop', 'progressive electro house']",Electronic/Dance
2018-04-07,32.0,Feel It Still,Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",Rock
2018-04-07,33.0,Say Something,Justin Timberlake ,"['dance pop', 'pop']",Pop
2018-04-07,34.0,You Make It Easy,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-04-07,35.0,Marry Me,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-04-07,36.0,Lemon,N*E*R*D ,"['hip hop', 'virginia hip hop']",Hip Hop
2018-04-07,37.0,Bad At Love,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Pop
2018-04-07,38.0,Powerglide,Rae Sremmurd ,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2018-04-07,39.0,Changes,,[],기타
2018-04-07,40.0,Outside Today,YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",Hip Hop
2018-04-07,41.0,No Limit,G-Eazy ,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Pop
2018-04-07,42.0,New Freezer,Rich The Kid ,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",Hip Hop
2018-04-07,43.0,Love.,Kendrick Lamar ,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Hip Hop
2018-04-07,44.0,Wolves,Selena Gomez ,"['pop', 'post-teen pop']",Pop
2018-04-07,45.0,MotorSport,"Migos, Nicki Minaj ","['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
