date,rank,song_title,artist,genres,simplified_genre
2020-03-21,1,The Box,Roddy Ricch,"['melodic rap', 'rap', 'trap']",Hip Hop
2020-03-21,2,Don't Start Now,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Pop
2020-03-21,3,Life Is Good,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-03-21,4,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2020-03-21,5,Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2020-03-21,6,Baby Pluto,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,7,Roxanne,Arizona Zervas,"['indie pop rap', 'pop rap', 'rhode island rap']",Pop
2020-03-21,8,Lo Mein,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,9,Silly Watch,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,10,Intentions,Justin Bieber ,"['canadian pop', 'pop']",Pop
2020-03-21,11,P2,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,12,Dance Monkey,Tones And I,['australian pop'],Pop
2020-03-21,13,Memories,Maroon 5,['pop'],Pop
2020-03-21,14,Everything I Wanted,Billie Eilish,"['art pop', 'pop']",Pop
2020-03-21,15,Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",Pop
2020-03-21,16,Adore You,Harry Styles,['pop'],Pop
2020-03-21,17,Hot Girl Bummer,blackbear,['pop'],Pop
2020-03-21,18,I Love Me,Demi Lovato,"['pop', 'post-teen pop']",Pop
2020-03-21,19,Say So,Doja Cat ,"['dance pop', 'pop']",Pop
2020-03-21,20,That Way,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,21,Heartless,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2020-03-21,22,Homecoming,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,23,The Bones,Maren Morris,"['classic texas country', 'contemporary country']",Country
2020-03-21,24,B.S.,Jhene Aiko ,['r&b'],R&B
2020-03-21,25,Prices,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,26,My Oh My,Camila Cabello ,"['dance pop', 'pop']",Pop
2020-03-21,27,"10,000 Hours",Dan + Shay ,"['contemporary country', 'country', 'country road']",Country
2020-03-21,28,POP,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,29,Ballin',Mustard ,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2020-03-21,30,Stupid Love,Lady Gaga,"['art pop', 'dance pop', 'pop']",Pop
2020-03-21,31,Woah,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-03-21,32,Godzilla,Eminem ,"['detroit hip hop', 'hip hop', 'rap']",Hip Hop
2020-03-21,33,Bigger Than Life,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,34,Celebration Station,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,35,BOP,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",Hip Hop
2020-03-21,36,You Better Move,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,37,I'm Sorry,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,38,Lose You To Love Me,Selena Gomez,"['pop', 'post-teen pop']",Pop
2020-03-21,39,Venetia,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,40,P*$$y Fairy (OTW),Jhene Aiko,['r&b'],R&B
2020-03-21,41,You Should Be Sad,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Pop
2020-03-21,42,Falling,Trevor Daniel,['melodic rap'],Hip Hop
2020-03-21,43,High Fashion,Roddy Ricch ,"['melodic rap', 'rap', 'trap']",Hip Hop
2020-03-21,44,Homesick,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",Country
2020-03-21,45,Chrome Heart Tags,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,46,No Guidance,Chris Brown ,"['r&b', 'rap']",R&B
2020-03-21,47,RITMO (Bad Boys For Life),Black Eyed Peas ,"['dance pop', 'pop', 'pop rap']",Pop
2020-03-21,48,Futsal Shuffle 2020,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,49,Good As Hell,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",Hip Hop
2020-03-21,50,I Hope,Gabby Barrett ,['contemporary country'],Country
2020-03-21,51,Bust Me,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,52,Sum 2 Prove,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-03-21,53,Blueberry Faygo,Lil Mosey,"['melodic rap', 'rap conscient']",Hip Hop
2020-03-21,54,La Dificil,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",Reggae
2020-03-21,55,Dior,Pop Smoke,"['brooklyn drill', 'rap']",Hip Hop
2020-03-21,56,Si Veo A Tu Mama,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",Reggae
2020-03-21,57,Heatin Up,Lil Baby ,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-03-21,58,Heart On Ice,Rod Wave,['florida rap'],Hip Hop
2020-03-21,59,B.I.T.C.H.,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",Hip Hop
2020-03-21,60,Homemade,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2020-03-21,61,Slide,H.E.R. ,"['r&b', 'rap']",R&B
2020-03-21,62,BEST ON EARTH,Russ ,"['hawaiian hip hop', 'pop rap']",Hip Hop
2020-03-21,63,What A Man Gotta Do,Jonas Brothers,"['boy band', 'pop']",Pop
2020-03-21,64,Emotionally Scarred,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-03-21,65,Happiness Over Everything (H.O.E.),Jhene Aiko ,['r&b'],R&B
2020-03-21,66,Vete,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",Reggae
2020-03-21,67,Yummy,Justin Bieber,"['canadian pop', 'pop']",Pop
2020-03-21,68,Commercial,Lil Baby ,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2020-03-21,69,Nobody But You,Blake Shelton Duet With Gwen Stefani,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",Country
2020-03-21,70,Chasin' You,Morgan Wallen,['contemporary country'],Country
2020-03-21,71,Juicy,Doja Cat ,"['dance pop', 'pop']",Pop
2020-03-21,72,Secure The Bag,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",Hip Hop
2020-03-21,73,Whats Poppin,Jack Harlow ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Hip Hop
2020-03-21,74,Captain Hook,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",Hip Hop
2020-03-21,75,Tusa,Karol G ,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",Reggae
