date,rank,song_title,artist,genres
2019-03-23,1,7 Rings,Ariana Grande,['Pop']
2019-03-23,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['Pop', 'Hip Hop']"
2019-03-23,3,Without Me,Halsey,['Pop']
2019-03-23,4,Please Me,Cardi B ,"['Pop', 'Hip Hop']"
2019-03-23,5,Wow.,Post Malone,"['Pop', 'Hip Hop']"
2019-03-23,6,Sucker,Jonas Brothers,['Pop']
2019-03-23,7,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2019-03-23,8,Middle Child,J. Cole,['Hip Hop']
2019-03-23,9,Shallow,Lady Gaga ,['Pop']
2019-03-23,10,Sicko Mode,Travis Scott,['Hip Hop']
2019-03-23,11,Thotiana,Blueface,['Hip Hop']
2019-03-23,12,High Hopes,Panic! At The Disco,['Pop']
2019-03-23,13,Eastside,"benny blanco, Halsey ",['Pop']
2019-03-23,14,Going Bad,Meek Mill ,['Hip Hop']
2019-03-23,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,['Pop']
2019-03-23,16,"Thank U, Next",Ariana Grande,['Pop']
2019-03-23,17,Murder On My Mind,YNW Melly,['Hip Hop']
2019-03-23,18,Dancing With A Stranger,Sam Smith ,['Pop']
2019-03-23,19,Better,Khalid,['Pop']
2019-03-23,20,Girls Like You,Maroon 5 ,['Pop']
2019-03-23,21,A Lot,21 Savage,['Hip Hop']
2019-03-23,22,Sweet But Psycho,Ava Ma,['Pop']
2019-03-23,23,Money,Cardi B,"['Pop', 'Hip Hop']"
2019-03-23,24,Drip Too Hard,Lil Baby ,['Hip Hop']
2019-03-23,25,Be Alright,Dean Lewis,['Pop']
2019-03-23,26,Beautiful Crazy,Luke Combs,['Country']
2019-03-23,27,Robbery,Juice WRLD,['Hip Hop']
2019-03-23,28,MIA,Bad Bunny ,
2019-03-23,29,ZEZE,Kodak Black ,['Hip Hop']
2019-03-23,30,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2019-03-23,31,Close To Me,Ellie Goulding ,['Pop']
2019-03-23,32,You Say,Lauren Daigle,
2019-03-23,33,Youngblood,5 Seconds Of Summer,['Pop']
2019-03-23,34,Tequila,Dan + Shay,['Country']
2019-03-23,35,Baby Shark,Pinkfong,
2019-03-23,36,Look Back At It,A Boogie Wit da Hoodie,['Hip Hop']
2019-03-23,37,Lucid Dreams,Juice WRLD,['Hip Hop']
2019-03-23,38,Hear Me Calling,Juice WRLD,['Hip Hop']
2019-03-23,39,Taki Taki,DJ Snake ,"['Electronic/Dance', 'Pop']"
2019-03-23,40,Pure Water,Mustard ,['Hip Hop']
2019-03-23,41,Empty,Juice WRLD,['Hip Hop']
2019-03-23,42,Talk,Khalid,['Pop']
2019-03-23,43,Envy Me,Calboy,
2019-03-23,44,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2019-03-23,45,Bury A Friend,Billie Eilish,['Pop']
2019-03-23,46,Mixed Personalities,YNW Melly ,['Hip Hop']
2019-03-23,47,Fast,Juice WRLD,['Hip Hop']
2019-03-23,48,Wake Up In The Sky,Gucci Mane ,['Hip Hop']
2019-03-23,49,Swervin,A Boogie Wit da Hoodie ,['Hip Hop']
2019-03-23,50,Twerk,City Girls ,
2019-03-23,51,Old Town Road,Lil Nas ,
2019-03-23,52,Girls Need Love,Summer Walker ,"['R&B', 'Hip Hop']"
2019-03-23,53,Millionaire,Chris Stapleton,
2019-03-23,54,Con Calma,Daddy Yankee ,
2019-03-23,55,This Is It,Scotty McCreery,['Country']
2019-03-23,56,Put A Date On It,Yo Gotti ,['Hip Hop']
2019-03-23,57,I,Lil Skies,
2019-03-23,58,Take It From Me,Jordan Davis,
2019-03-23,59,Wish You Were Gay,Billie Eilish,['Pop']
2019-03-23,60,Here Tonight,Brett Young,['Country']
2019-03-23,61,GIRL,Maren Morris,
2019-03-23,62,Worth It,YK Osiris,
2019-03-23,63,Act Up,City Girls,
2019-03-23,64,Who Do You Love,The Chainsmokers ,['Pop']
2019-03-23,65,Maze,Juice WRLD,['Hip Hop']
2019-03-23,66,Close Friends,Lil Baby,['Hip Hop']
