date,rank,song_title,artist,genres
2018-07-28,1.0,In My Feelings,Drake,['Hip Hop']
2018-07-28,2.0,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2018-07-28,3.0,Girls Like You,Maroon 5 ,['Pop']
2018-07-28,4.0,Nice For What,Drake,['Hip Hop']
,,Boo'd Up,Ella Mai,
2018-07-28,6.0,Lucid Dreams,Juice WRLD,['Hip Hop']
2018-07-28,7.0,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2018-07-28,8.0,No Tears Left To Cry,Ariana Grande,['Pop']
2018-07-28,9.0,Psycho,Post Malone ,"['Pop', 'Hip Hop']"
2018-07-28,10.0,God's Plan,Drake,['Hip Hop']
2018-07-28,11.0,God Is A Woman,Ariana Grande,['Pop']
2018-07-28,12.0,Delicate,Taylor Swift,['Pop']
2018-07-28,13.0,Taste,Tyga ,['Hip Hop']
2018-07-28,14.0,The Middle,"Zedd, Maren Morris ","['Electronic/Dance', 'Pop']"
2018-07-28,15.0,Sad!,,
2018-07-28,16.0,Yes Indeed,Lil Baby ,['Hip Hop']
2018-07-28,17.0,Meant To Be,Bebe Re,['Pop']
2018-07-28,18.0,Friends,Marshmello ,"['Electronic/Dance', 'Pop']"
2018-07-28,19.0,Perfect,Ed Sheeran,['Pop']
2018-07-28,20.0,Nonstop,Drake,['Hip Hop']
2018-07-28,21.0,Love Lies,Khalid ,['Pop']
2018-07-28,22.0,Mine,Bazzi,['Pop']
2018-07-28,23.0,In My Blood,Shawn Mendes,['Pop']
2018-07-28,24.0,I'm Upset,Drake,['Hip Hop']
2018-07-28,25.0,Tequila,Dan + Shay,['Country']
2018-07-28,26.0,One Kiss,Calvin Harris ,"['Electronic/Dance', 'Pop']"
2018-07-28,27.0,Back To You,Selena Gomez,['Pop']
2018-07-28,28.0,Apes**t,The Carters,['R&B']
2018-07-28,29.0,I Like Me Better,Lauv,['Pop']
2018-07-28,30.0,Never Be The Same,Camila Cabello,['Pop']
2018-07-28,31.0,Get Along,Kenny Chesney,['Country']
2018-07-28,32.0,Youngblood,5 Seconds Of Summer,['Pop']
2018-07-28,33.0,Don't Matter To Me,Drake ,['Hip Hop']
2018-07-28,34.0,Whatever It Takes,Imagine Dragons,"['Rock', 'Pop']"
2018-07-28,35.0,Look Alive,BlocBoy JB ,['Hip Hop']
2018-07-28,36.0,Simple,Florida Georgia Line,['Country']
2018-07-28,37.0,Moonlight,,
2018-07-28,38.0,Mercy,Brett Young,['Country']
2018-07-28,39.0,Big Bank,YG ,['Hip Hop']
2018-07-28,40.0,This Is America,Childish Gambino,['Hip Hop']
2018-07-28,41.0,Be Careful,Cardi B,"['Pop', 'Hip Hop']"
,,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna ",
2018-07-28,43.0,Mob Ties,Drake,['Hip Hop']
2018-07-28,44.0,Summertime Magic,Childish Gambino,['Hip Hop']
2018-07-28,45.0,I Was Jack (You Were Diane),Jake Owen,['Country']
2018-07-28,46.0,Sit Next To Me,Foster The People,['Rock']
2018-07-28,47.0,X,Nicky Jam ,
2018-07-28,48.0,Drowns The Whiskey,Jason Aldean ,['Country']
2018-07-28,49.0,One Number Away,Luke Combs,['Country']
2018-07-28,50.0,Jumpsuit,twenty one pilots,"['Rock', 'Pop']"
2018-07-28,51.0,Changes,,
2018-07-28,52.0,Bed,Nicki Minaj ,"['Pop', 'Hip Hop']"
2018-07-28,53.0,You Say,Lauren Daigle,
2018-07-28,54.0,Life Changes,Thomas Rhett,['Country']
2018-07-28,55.0,All Girls Are The Same,Juice WRLD,['Hip Hop']
2018-07-28,56.0,Eastside,"benny blanco, Halsey ",['Pop']
2018-07-28,57.0,Take Back Home Girl,Chris Lane ,['Country']
2018-07-28,58.0,Emotionless,Drake,['Hip Hop']
2018-07-28,59.0,Up Down,Morgan Wallen ,
2018-07-28,60.0,Jackie Chan,Tiesto ,['Electronic/Dance']
2018-07-28,61.0,Can't Take A Joke,Drake,['Hip Hop']
2018-07-28,62.0,Coming Home,Keith Urban ,['Country']
,,Don't Go Breaking My Heart,Backstreet Boys,
2018-07-28,64.0,"Sunrise, Sunburn, Sunset",Luke Bryan,['Country']
2018-07-28,65.0,Growing Pains,Alessia Cara,['Pop']
2018-07-28,66.0,Solo,Clean Bandit ,['Pop']
2018-07-28,67.0,Elevate,Drake,['Hip Hop']
2018-07-28,68.0,Wasted,Juice WRLD ,['Hip Hop']
2018-07-28,69.0,Freaky Friday,Lil Dicky ,
2018-07-28,70.0,Hotel Key,Old Dominion,['Country']
2018-07-28,71.0,Desperate Man,Eric Church,['Country']
2018-07-28,72.0,Hopeless Romantic,Wiz Khalifa ,['Hip Hop']
2018-07-28,73.0,Fr Fr,Wiz Khalifa ,['Hip Hop']
2018-07-28,74.0,Kiss Somebody,Morgan Evans,
2018-07-28,75.0,OTW,"Khalid, Ty Dolla $ign ",['Pop']
2018-07-28,76.0,Ball For Me,Post Malone ,"['Pop', 'Hip Hop']"
2018-07-28,77.0,All Mine,Kanye West,['Hip Hop']
