date,rank,song_title,artist,genres
2019-03-30,1,7 Rings,Ariana Grande,['Pop']
2019-03-30,2,Without Me,Halsey,['Pop']
2019-03-30,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['Pop', 'Hip Hop']"
2019-03-30,4,Wow.,Post Malone,"['Pop', 'Hip Hop']"
2019-03-30,5,Please Me,Cardi B ,"['Pop', 'Hip Hop']"
2019-03-30,6,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2019-03-30,7,Shallow,Lady Gaga ,['Pop']
2019-03-30,8,Sucker,Jonas Brothers,['Pop']
2019-03-30,9,Middle Child,J. Cole,['Hip Hop']
2019-03-30,10,Going Bad,Meek Mill ,['Hip Hop']
2019-03-30,11,Thotiana,Blueface,['Hip Hop']
2019-03-30,12,Eastside,"benny blanco, Halsey ",['Pop']
2019-03-30,13,Sicko Mode,Travis Scott,['Hip Hop']
2019-03-30,14,High Hopes,Panic! At The Disco,['Pop']
2019-03-30,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,['Pop']
2019-03-30,16,Murder On My Mind,YNW Melly,['Hip Hop']
2019-03-30,17,Dancing With A Stranger,Sam Smith ,['Pop']
2019-03-30,18,Better,Khalid,['Pop']
2019-03-30,19,"Thank U, Next",Ariana Grande,['Pop']
2019-03-30,20,Sweet But Psycho,Ava Ma,['Pop']
2019-03-30,21,A Lot,21 Savage,['Hip Hop']
2019-03-30,22,Girls Like You,Maroon 5 ,['Pop']
2019-03-30,23,Be Alright,Dean Lewis,['Pop']
2019-03-30,24,Drip Too Hard,Lil Baby ,['Hip Hop']
2019-03-30,25,Beautiful Crazy,Luke Combs,['Country']
2019-03-30,26,Money,Cardi B,"['Pop', 'Hip Hop']"
2019-03-30,27,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2019-03-30,28,Close To Me,Ellie Goulding ,['Pop']
2019-03-30,29,You Say,Lauren Daigle,
2019-03-30,30,MIA,Bad Bunny ,
2019-03-30,31,ZEZE,Kodak Black ,['Hip Hop']
2019-03-30,32,Old Town Road,Lil Nas ,
2019-03-30,33,Youngblood,5 Seconds Of Summer,['Pop']
2019-03-30,34,Pure Water,Mustard ,['Hip Hop']
2019-03-30,35,Robbery,Juice WRLD,['Hip Hop']
2019-03-30,36,Look Back At It,A Boogie Wit da Hoodie,['Hip Hop']
2019-03-30,37,Baby Shark,Pinkfong,
2019-03-30,38,Tequila,Dan + Shay,['Country']
2019-03-30,39,Envy Me,Calboy,
2019-03-30,40,Lucid Dreams,Juice WRLD,['Hip Hop']
2019-03-30,41,Talk,Khalid,['Pop']
2019-03-30,42,Taki Taki,DJ Snake ,"['Electronic/Dance', 'Pop']"
2019-03-30,43,Mixed Personalities,YNW Melly ,['Hip Hop']
2019-03-30,44,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2019-03-30,45,Swervin,A Boogie Wit da Hoodie ,['Hip Hop']
2019-03-30,46,Bury A Friend,Billie Eilish,['Pop']
