date,rank,song_title,artist,genres
2019-06-15,1.0,Old Town Road,Lil Nas ,
2019-06-15,2.0,Bad Guy,Billie Eilish,['Pop']
2019-06-15,3.0,Talk,Khalid,['Pop']
2019-06-15,4.0,I Don't Care,Ed Sheeran ,
2019-06-15,5.0,Sucker,Jonas Brothers,['Pop']
2019-06-15,6.0,Wow.,Post Malone,"['Pop', 'Hip Hop']"
2019-06-15,7.0,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone ,"['Pop', 'Hip Hop']"
2019-06-15,8.0,Suge,DaBaby,['Hip Hop']
2019-06-15,9.0,Dancing With A Stranger,Sam Smith ,['Pop']
2019-06-15,10.0,Sweet But Psycho,Ava Ma,['Pop']
2019-06-15,11.0,ME!,Taylor Swift ,['Pop']
2019-06-15,12.0,Without Me,Halsey,['Pop']
2019-06-15,13.0,7 Rings,Ariana Grande,['Pop']
2019-06-15,14.0,If I Can't Have You,Shawn Mendes,['Pop']
2019-06-15,15.0,Never Really Over,Katy Perry,['Pop']
2019-06-15,16.0,Press,Cardi B,"['Pop', 'Hip Hop']"
2019-06-15,17.0,The London,"Young Thug, J. Cole ",['Hip Hop']
2019-06-15,18.0,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2019-06-15,19.0,God's Country,Blake Shelton,['Country']
2019-06-15,20.0,Whiskey Glasses,Morgan Wallen,
2019-06-15,21.0,Truth Hurts,Lizzo,['Pop']
2019-06-15,22.0,Pop Out,Polo G ,['Hip Hop']
2019-06-15,23.0,High Hopes,Panic! At The Disco,['Pop']
2019-06-15,24.0,Con Calma,Daddy Yankee ,
2019-06-15,25.0,Middle Child,J. Cole,['Hip Hop']
2019-06-15,26.0,Eastside,"benny blanco, Halsey ",['Pop']
2019-06-15,27.0,EARFQUAKE,"Tyler, The Creator",['Hip Hop']
2019-06-15,28.0,Act Up,City Girls,
2019-06-15,29.0,Going Bad,Meek Mill ,['Hip Hop']
2019-06-15,30.0,Pure Water,Mustard ,['Hip Hop']
2019-06-15,31.0,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,['Pop']
2019-06-15,32.0,Look What God Gave Her,Thomas Rhett,['Country']
2019-06-15,33.0,Look Back At It,A Boogie Wit da Hoodie,['Hip Hop']
2019-06-15,34.0,Better,Khalid,['Pop']
2019-06-15,35.0,Sicko Mode,Travis Scott,['Hip Hop']
2019-06-15,36.0,Nightmare,Halsey,['Pop']
2019-06-15,37.0,Rumor,Lee Brice,['Country']
2019-06-15,38.0,Beer Never Broke My Heart,Luke Combs,['Country']
2019-06-15,39.0,"Hey Look Ma, I Made It",Panic! At The Disco,['Pop']
2019-06-15,40.0,Envy Me,Calboy,
2019-06-15,41.0,Good As You,Kane Brown,['Country']
2019-06-15,42.0,Please Me,Cardi B ,"['Pop', 'Hip Hop']"
2019-06-15,43.0,Shallow,Lady Gaga ,['Pop']
2019-06-15,44.0,When The Party's Over,Billie Eilish,['Pop']
2019-06-15,45.0,Beautiful Crazy,Luke Combs,['Country']
2019-06-15,46.0,Cross Me,Ed Sheeran ,
2019-06-15,47.0,Miss Me More,Kelsea Ballerini,['Country']
2019-06-15,48.0,Speechless,Dan + Shay,['Country']
2019-06-15,49.0,Close Friends,Lil Baby,['Hip Hop']
2019-06-15,50.0,Go Loko,"YG, Tyga ",['Hip Hop']
2019-06-15,51.0,Wish Wish,DJ Khaled ,['Hip Hop']
2019-06-15,52.0,Walk Me Home,P!nk,['Pop']
2019-06-15,53.0,Bury A Friend,Billie Eilish,['Pop']
2019-06-15,54.0,Mother's Daughter,Miley Cyrus,['Pop']
2019-06-15,55.0,Clout,Offset ,['Hip Hop']
2019-06-15,56.0,Worth It,YK Osiris,
2019-06-15,57.0,Love Someone,Brett Eldredge,['Country']
2019-06-15,58.0,Someone You Loved,Lewis Capaldi,['Pop']
2019-06-15,59.0,Cool,Jonas Brothers,['Pop']
2019-06-15,60.0,Here With Me,Marshmello ,"['Electronic/Dance', 'Pop']"
2019-06-15,61.0,GIRL,Maren Morris,
2019-06-15,62.0,Just Us,DJ Khaled ,['Hip Hop']
2019-06-15,63.0,Easier,5 Seconds Of Summer,['Pop']
2019-06-15,64.0,Knockin' Boots,Luke Bryan,['Country']
2019-06-15,65.0,Eyes On You,Chase Rice,['Country']
2019-06-15,66.0,Girls Need Love,Summer Walker ,"['R&B', 'Hip Hop']"
2019-06-15,67.0,Call You Mine,The Chainsmokers ,['Pop']
2019-06-15,68.0,Love Ain't,Eli Young Band,['Country']
2019-06-15,69.0,Murder On My Mind,YNW Melly,['Hip Hop']
2019-06-15,70.0,The Search,NF,['Hip Hop']
2019-06-15,71.0,Sanguine Paradise,Lil Uzi Vert,['Hip Hop']
2019-06-15,72.0,Before I Let Go,Beyonce,"['Pop', 'R&B']"
2019-06-15,73.0,Put A Date On It,Yo Gotti ,['Hip Hop']
2019-06-15,74.0,Soltera,"Lunay, Daddy Yankee ",
2019-06-15,75.0,All To Myself,Dan + Shay,['Country']
2019-06-15,76.0,24/7,Meek Mill ,['Hip Hop']
2019-06-15,77.0,Big Ole Freak,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2019-06-15,78.0,On My Way To You,Cody Johnson,
2019-06-15,79.0,Isis,Joyner Lucas ,['Hip Hop']
2019-06-15,80.0,Some Of It,Eric Church,['Country']
2019-06-15,81.0,Talk You Out Of It,Florida Georgia Line,['Country']
2019-06-15,82.0,Shotta Flow,NLE Choppa,['Hip Hop']
2019-06-15,83.0,Calma,Pedro Capo ,
2019-06-15,84.0,You Stay,DJ Khaled ,['Hip Hop']
2019-06-15,85.0,Homicide,Logic ,['Hip Hop']
2019-06-15,86.0,Ocean Eyes,Billie Eilish,['Pop']
2019-06-15,87.0,Robbery,Juice WRLD,['Hip Hop']
2019-06-15,88.0,Rearview Town,Jason Aldean,['Country']
2019-06-15,89.0,Baila Baila Baila,Ozuna ,
2019-06-15,90.0,Boy With Luv,BTS ,['Pop']
2019-06-15,91.0,Shut Up About Politics,John Rich ,
2019-06-15,92.0,La La Land,Bryce Vine ,
,,Ran$om,Lil Tecca,
2019-06-15,94.0,Under Enemy Arms,Trippie Redd,['Hip Hop']
2019-06-15,95.0,Racks In The Middle,Nipsey Hussle ,['Hip Hop']
2019-06-15,96.0,Te Robare,Nicky Jam ,
2019-06-15,97.0,Raised On Country,Chris Young,['Country']
2019-06-15,98.0,Bacc At It Again,"Yella Beezy, Gucci Mane ",
2019-06-15,99.0,Trampoline,SHAED,
2019-06-15,100.0,Night Shift,Jon Pardi,['Country']
