date,rank,song_title,artist,genres
2021-08-07,1.0,Butter,BTS,['Pop']
2021-08-07,2.0,Industry Baby,Lil Nas ,
2021-08-07,3.0,Good 4 U,Olivia Rodrigo,['Pop']
2021-08-07,4.0,Stay,The Kid LAROI ,
2021-08-07,5.0,Levitating,Dua Lipa,['Pop']
2021-08-07,6.0,Kiss Me More,Doja Cat ,['Pop']
2021-08-07,7.0,Bad Habits,Ed Sheeran,['Pop']
2021-08-07,8.0,Montero (Call Me By Your Name),Lil Nas ,
2021-08-07,9.0,Permission To Dance,BTS,['Pop']
2021-08-07,10.0,Deja Vu,Olivia Rodrigo,['Pop']
2021-08-07,11.0,Save Your Tears,The Weeknd ,['Pop']
2021-08-07,12.0,Peaches,Justin Bieber ,['Pop']
,,Leave The Door Open,Silk Sonic (Bruno Mars ,
2021-08-07,14.0,Fancy Like,Walker Hayes,['Country']
2021-08-07,15.0,If I Didn't Love You,Jason Aldean ,['Country']
2021-08-07,16.0,Rapstar,Polo G,['Hip Hop']
2021-08-07,17.0,Blinding Lights,The Weeknd,['Pop']
2021-08-07,18.0,Heartbreak Anniversary,Giveon,['R&B']
2021-08-07,19.0,You Right,Doja Cat ,['Pop']
2021-08-07,20.0,Without You,The Kid LAROI,
2021-08-07,21.0,Astronaut In The Ocean,Masked Wolf,
2021-08-07,22.0,Forever After All,Luke Combs,['Country']
2021-08-07,23.0,Every Chance I Get,DJ Khaled ,['Hip Hop']
2021-08-07,24.0,Leave Before You Love Me,Marshmello ,"['Electronic/Dance', 'Pop']"
2021-08-07,25.0,Lil Bit,Nelly ,['Hip Hop']
2021-08-07,26.0,Single Saturday Night,Cole Swindell,['Country']
2021-08-07,27.0,Beautiful Mistakes,Maroon 5 ,['Pop']
2021-08-07,28.0,Thot Shit,Megan Thee Stallion,"['Pop', 'R&B', 'Hip Hop']"
2021-08-07,29.0,Late At Night,Roddy Ricch,['Hip Hop']
2021-08-07,30.0,Heat Waves,Glass Animals,
2021-08-07,31.0,Glad You Exist,Dan + Shay,['Country']
2021-08-07,32.0,Drinkin' Beer. Talkin' God. Amen.,Chase Rice ,['Country']
2021-08-07,33.0,Motley Crew,Post Malone,"['Pop', 'Hip Hop']"
2021-08-07,34.0,Ain't Shit,Doja Cat,['Pop']
2021-08-07,35.0,Telepatia,Kali Uchis,
2021-08-07,36.0,Famous Friends,Chris Young + Kane Brown,['Country']
2021-08-07,37.0,Need To Know,Doja Cat,['Pop']
2021-08-07,38.0,Beggin',Maneskin,
2021-08-07,39.0,Whole Lotta Money,BIA ,
2021-08-07,40.0,Best Friend,Saweetie ,
2021-08-07,41.0,Not Sober,The Kid LAROI ,
2021-08-07,42.0,Don't Go Yet,Camila Cabello,['Pop']
2021-08-07,43.0,Mood,24kGoldn ,
,,My Ex's Best Friend,Machine Gun Kelly ,
2021-08-07,45.0,Wild Side,Normani ,"['Pop', 'R&B']"
2021-08-07,46.0,Wockesha,Moneybagg Yo,['Hip Hop']
2021-08-07,47.0,Traitor,Olivia Rodrigo,['Pop']
2021-08-07,48.0,Chasing After You,Ryan Hurd With Maren Morris,
2021-08-07,49.0,Wants And Needs,Drake ,['Hip Hop']
2021-08-07,50.0,Yonaguni,Bad Bunny,
2021-08-07,51.0,Todo de Ti,Rauw Alejandro,
2021-08-07,52.0,Country Again,Thomas Rhett,['Country']
2021-08-07,53.0,Waves,Luke Bryan,['Country']
2021-08-07,54.0,Things A Man Oughta Know,Lainey Wilson,
2021-08-07,55.0,Arcade,Duncan Laurence,
,,One Too Many,Keith Urban Duet With P!nk,
2021-08-07,57.0,Over The Top,Smiley ,
2021-08-07,58.0,You,Regard ,
2021-08-07,59.0,Essence,Wizkid ,
2021-08-07,60.0,Ball If I Want To,DaBaby,['Hip Hop']
2021-08-07,61.0,Memory,Kane Brown ,['Country']
2021-08-07,62.0,We Didn't Have Much,Justin Moore,['Country']
2021-08-07,63.0,2055,Sleepy Hallow,
2021-08-07,64.0,Drunk (And I Don't Wanna Go Home),Elle King ,
2021-08-07,65.0,Blame It On You,Jason Aldean,['Country']
2021-08-07,66.0,Settling Down,Miranda Lambert,['Country']
2021-08-07,67.0,Gone,Dierks Bentley,['Country']
2021-08-07,68.0,Way Less Sad,AJR,
,,my.life,"J. Cole, 21 Savage ",
2021-08-07,70.0,A-O-K,Tai Verdes,
2021-08-07,71.0,Straightenin,Migos,['Hip Hop']
2021-08-07,72.0,Tombstone,Rod Wave,
2021-08-07,73.0,Love Again,Dua Lipa,['Pop']
2021-08-07,74.0,AM,Nio Garcia ,
2021-08-07,75.0,Favorite Crime,Olivia Rodrigo,['Pop']
