date,rank,song_title,artist,genres
2018-09-08,1.0,In My Feelings,Drake,['Hip Hop']
2018-09-08,2.0,Girls Like You,Maroon 5 ,['Pop']
2018-09-08,3.0,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2018-09-08,4.0,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2018-09-08,5.0,FEFE,6i,
2018-09-08,6.0,Lucid Dreams,Juice WRLD,['Hip Hop']
2018-09-08,7.0,Sicko Mode,Travis Scott,['Hip Hop']
2018-09-08,8.0,Taste,Tyga ,['Hip Hop']
2018-09-08,9.0,Love Lies,Khalid ,['Pop']
2018-09-08,10.0,God Is A Woman,Ariana Grande,['Pop']
2018-09-08,11.0,IDOL,BTS ,['Pop']
2018-09-08,12.0,No Brainer,DJ Khaled ,['Hip Hop']
2018-09-08,13.0,Boo'd Up,Ella Mai,"['R&B', 'Hip Hop']"
2018-09-08,14.0,No Tears Left To Cry,Ariana Grande,['Pop']
2018-09-08,15.0,Youngblood,5 Seconds Of Summer,['Pop']
2018-09-08,16.0,Yes Indeed,Lil Baby ,['Hip Hop']
2018-09-08,17.0,Nonstop,Drake,['Hip Hop']
2018-09-08,18.0,Psycho,Post Malone ,"['Pop', 'Hip Hop']"
2018-09-08,19.0,Back To You,Selena Gomez,['Pop']
2018-09-08,20.0,Big Bank,YG ,['Hip Hop']
2018-09-08,21.0,Meant To Be,Bebe Re,['Pop']
2018-09-08,22.0,Perfect,Ed Sheeran,['Pop']
2018-09-08,23.0,Nice For What,Drake,['Hip Hop']
2018-09-08,24.0,Natural,Imagine Dragons,"['Rock', 'Pop']"
2018-09-08,25.0,Delicate,Taylor Swift,['Pop']
2018-09-08,26.0,The Middle,"Zedd, Maren Morris ","['Electronic/Dance', 'Pop']"
2018-09-08,27.0,I Like Me Better,Lauv,['Pop']
2018-09-08,28.0,Eastside,"benny blanco, Halsey ",['Pop']
2018-09-08,29.0,Sad!,,
2018-09-08,30.0,God's Plan,Drake,['Hip Hop']
2018-09-08,31.0,Tequila,Dan + Shay,['Country']
2018-09-08,32.0,Simple,Florida Georgia Line,['Country']
2018-09-08,33.0,Mine,Bazzi,['Pop']
2018-09-08,34.0,Drowns The Whiskey,Jason Aldean ,['Country']
2018-09-08,35.0,"Sunrise, Sunburn, Sunset",Luke Bryan,['Country']
2018-09-08,36.0,Life Changes,Thomas Rhett,['Country']
2018-09-08,37.0,Breathin,Ariana Grande,['Pop']
2018-09-08,38.0,Mercy,Brett Young,['Country']
2018-09-08,39.0,I'm A Mess,Bebe Re,['Pop']
2018-09-08,40.0,Stargazing,Travis Scott,['Hip Hop']
2018-09-08,41.0,Friends,Marshmello ,"['Electronic/Dance', 'Pop']"
2018-09-08,42.0,Never Be The Same,Camila Cabello,['Pop']
2018-09-08,43.0,One Kiss,Calvin Harris ,"['Electronic/Dance', 'Pop']"
2018-09-08,44.0,Beautiful,Bazzi ,['Pop']
2018-09-08,45.0,Barbie Dreams,Nicki Minaj,"['Pop', 'Hip Hop']"
2018-09-08,46.0,Drew Barrymore,Bryce Vine,
2018-09-08,47.0,Moonlight,,
2018-09-08,48.0,Get Along,Kenny Chesney,['Country']
,,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna ",
2018-09-08,50.0,Broken,lovelytheband,
2018-09-08,51.0,Hotel Key,Old Dominion,['Country']
2018-09-08,52.0,W O R K I N  M E,Quavo,['Hip Hop']
2018-09-08,53.0,Apes**t,The Carters,['R&B']
2018-09-08,54.0,Trip,Ella Mai,"['R&B', 'Hip Hop']"
2018-09-08,55.0,You Say,Lauren Daigle,
2018-09-08,56.0,Africa,Weezer,['Rock']
2018-09-08,57.0,Jackie Chan,Tiesto ,['Electronic/Dance']
2018-09-08,58.0,Yosemite,Travis Scott,['Hip Hop']
