date,rank,song_title,artist,genres,simplified_genre
2018-09-22,1.0,In My Feelings,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2018-09-22,2.0,Girls Like You,Maroon 5 ,['pop'],Pop
2018-09-22,3.0,I Like It,"Cardi B, Bad Bunny ","['pop', 'rap']",Pop
2018-09-22,4.0,Better Now,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2018-09-22,5.0,Lucid Dreams,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",Hip Hop
2018-09-22,6.0,I Love It,Kanye West ,"['chicago rap', 'hip hop', 'rap']",Hip Hop
2018-09-22,7.0,FEFE,6i,['emo rap'],Hip Hop
2018-09-22,8.0,Sicko Mode,Travis Scott,"['hip hop', 'rap', 'slap house']",Hip Hop
2018-09-22,9.0,Taste,Tyga ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2018-09-22,10.0,Love Lies,Khalid ,"['pop', 'pop r&b']",Pop
2018-09-22,11.0,Youngblood,5 Seconds Of Summer,"['boy band', 'pop']",Pop
2018-09-22,12.0,No Brainer,DJ Khaled ,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",Hip Hop
2018-09-22,14.0,Boo'd Up,Ella Mai,"['r&b', 'rap', 'uk contemporary r&b']",R&B
2018-09-22,15.0,Natural,Imagine Dragons,"['modern rock', 'pop', 'rock']",Rock
2018-09-22,16.0,God Is A Woman,Ariana Grande,['pop'],Pop
2018-09-22,17.0,Nonstop,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2018-09-22,18.0,Lucky You,Eminem ,"['detroit hip hop', 'hip hop', 'rap']",Hip Hop
2018-09-22,19.0,Back To You,Selena Gomez,"['pop', 'post-teen pop']",Pop
2018-09-22,20.0,Yes Indeed,Lil Baby ,"['atl hip hop', 'atl trap', 'rap', 'trap']",Hip Hop
2018-09-22,21.0,No Tears Left To Cry,Ariana Grande,['pop'],Pop
2018-09-22,22.0,Perfect,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",Pop
2018-09-22,23.0,Trip,Ella Mai,"['r&b', 'rap', 'uk contemporary r&b']",R&B
2018-09-22,24.0,Big Bank,YG ,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2018-09-22,25.0,Delicate,Taylor Swift,['pop'],Pop
2018-09-22,26.0,Psycho,Post Malone ,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hip Hop
2018-09-22,27.0,Meant To Be,Bebe Re,"['dance pop', 'pop']",Pop
2018-09-22,28.0,Eastside,"benny blanco, Halsey ",['pop'],Pop
2018-09-22,29.0,Sad!,,[],기타
2018-09-22,30.0,Nice For What,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2018-09-22,31.0,The Middle,"Zedd, Maren Morris ","['complextro', 'edm', 'german techno', 'pop', 'pop dance']",Electronic/Dance
2018-09-22,32.0,I Like Me Better,Lauv,['pop'],Pop
2018-09-22,33.0,Self Care,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Hip Hop
2018-09-22,34.0,Fall,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Hip Hop
2018-09-22,35.0,Happier,Marshmello ,"['brostep', 'edm', 'pop', 'progressive electro house']",Electronic/Dance
2018-09-22,36.0,God's Plan,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2018-09-22,37.0,Tequila,Dan + Shay,"['contemporary country', 'country', 'country road']",Country
2018-09-22,38.0,Simple,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Country
2018-09-22,39.0,The Ringer,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Hip Hop
2018-09-22,40.0,"Sunrise, Sunburn, Sunset",Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,41.0,Broken,lovelytheband,"['modern alternative rock', 'modern rock', 'pov: indie']",Rock
2018-09-22,42.0,Beautiful,Bazzi ,['pop'],Pop
2018-09-22,43.0,I'm A Mess,Bebe Re,"['dance pop', 'pop']",Pop
2018-09-22,44.0,You Say,Lauren Daigle,"['ccm', 'christian alternative rock', 'christian music']",Rock
2018-09-22,45.0,Barbie Dreams,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",Pop
2018-09-22,46.0,Mine,Bazzi,['pop'],Pop
2018-09-22,47.0,Drew Barrymore,Bryce Vine,['indie pop rap'],Pop
2018-09-22,48.0,Hooked,Dylan Scott,"['contemporary country', 'country road', 'modern country rock']",Country
2018-09-22,49.0,Hotel Key,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,51.0,Africa,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",Rock
2018-09-22,52.0,Jackie Chan,Tiesto ,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",Electronic/Dance
2018-09-22,53.0,BEBE,6i,['emo rap'],Hip Hop
2018-09-22,54.0,Mo Bamba,Sheck Wes,"['pop rap', 'rap', 'trap']",Pop
2018-09-22,55.0,Drowns The Whiskey,Jason Aldean ,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,56.0,Ring,Cardi B ,"['pop', 'rap']",Pop
2018-09-22,57.0,She Got The Best Of Me ,Luke Combs,"['contemporary country', 'country']",Country
2018-09-22,58.0,Life Changes,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,59.0,Blue Tacoma,Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,60.0,Breathin,Ariana Grande,['pop'],Pop
2018-09-22,61.0,Medicine,Queen Naija,"['pop r&b', 'r&b']",Pop
2018-09-22,62.0,High Hopes,Panic! At The Disco,"['modern rock', 'pop']",Rock
2018-09-22,63.0,W O R K I N  M E,Quavo,"['atl hip hop', 'melodic rap', 'rap', 'trap']",Hip Hop
2018-09-22,64.0,Not Alike,Eminem ,"['detroit hip hop', 'hip hop', 'rap']",Hip Hop
2018-09-22,65.0,Mercy,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,66.0,Smile (Living My Best Life),Lil' Duval ,"['florida rap', 'hip hop']",Hip Hop
2018-09-22,67.0,Lose It,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",Country
2018-09-22,68.0,Break Up In The End,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2018-09-22,69.0,The Way I Am,Charlie Puth,"['pop', 'viral pop']",Pop
2018-09-22,70.0,Hurt Feelings,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Hip Hop
2018-09-22,71.0,Stargazing,Travis Scott,"['hip hop', 'rap', 'slap house']",Hip Hop
2018-09-22,72.0,Promises,Calvin Harris ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Pop
2018-09-22,73.0,Apes**t,The Carters,['r&b'],R&B
2018-09-22,74.0,All Girls Are The Same,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",Hip Hop
2018-09-22,75.0,Remind Me To Forget,Kygo ,"['edm', 'pop', 'pop dance', 'tropical house']",Electronic/Dance
