date,rank,song_title,artist,genres
2016-02-06,1.0,Sorry,Justin Bieber,['Pop']
2016-02-06,2.0,Love Yourself,Justin Bieber,['Pop']
2016-02-06,3.0,Hello,Adele,['Pop']
2016-02-06,4.0,Stressed Out,twenty one pilots,"['Rock', 'Pop']"
2016-02-06,5.0,Here,Alessia Cara,['Pop']
2016-02-06,6.0,Stitches,Shawn Mendes,['Pop']
2016-02-06,7.0,Same Old Love,Selena Gomez,['Pop']
2016-02-06,8.0,Roses,The Chainsmokers ,['Pop']
2016-02-06,9.0,Hotline Bling,Drake,['Hip Hop']
2016-02-06,10.0,What Do You Mean?,Justin Bieber,['Pop']
2016-02-06,11.0,Like I'm Gonna Lose You,Meghan Trainor ,['Pop']
2016-02-06,12.0,My House,Flo Rida,['Pop']
2016-02-06,13.0,In The Night,The Weeknd,['Pop']
2016-02-06,14.0,Jumpman,Drake ,['Hip Hop']
2016-02-06,15.0,Don't,Bryson Tiller,"['R&B', 'Hip Hop']"
2016-02-06,16.0,"Me, Myself & I",G-Eazy ,['Hip Hop']
2016-02-06,17.0,White Iverson,Post Malone,"['Pop', 'Hip Hop']"
2016-02-06,18.0,The Hills,The Weeknd,['Pop']
2016-02-06,19.0,Antidote,Travis Scott,['Hip Hop']
2016-02-06,20.0,679,Fetty Wap ,['Hip Hop']
2016-02-06,21.0,Hands To Myself,Selena Gomez,['Pop']
2016-02-06,22.0,Cake By The Ocean,DNCE,['Pop']
2016-02-06,23.0,Say It,Tory Lanez,"['R&B', 'Hip Hop']"
2016-02-06,24.0,I Know What You Did Last Summer,Shawn Mendes ,['Pop']
2016-02-06,25.0,Die A Happy Man,Thomas Rhett,['Country']
2016-02-06,26.0,One Call Away,Charlie Puth,['Pop']
2016-02-06,27.0,On My Mind,Ellie Goulding,['Pop']
2016-02-06,28.0,Watch Me,Silento,
2016-02-06,29.0,Ex's & Oh's,Elle King,['Country']
2016-02-06,30.0,Hide Away,Daya,['Pop']
2016-02-06,31.0,Down In The DM,Yo Gotti ,['Hip Hop']
2016-02-06,32.0,Can't Feel My Face,The Weeknd,['Pop']
2016-02-06,33.0,Break Up In A Small Town,Sam Hunt,['Country']
2016-02-06,34.0,Wildest Dreams,Taylor Swift,['Pop']
2016-02-06,35.0,When We Were Young,Adele,['Pop']
2016-02-06,36.0,Lean On,Major Lazer ,"['Electronic/Dance', 'Pop']"
2016-02-06,37.0,See You Again,Wiz Khalifa ,['Hip Hop']
2016-02-06,38.0,Perfect,One Direction,['Pop']
2016-02-06,39.0,Exchange,Bryson Tiller,"['R&B', 'Hip Hop']"
2016-02-06,40.0,Confident,Demi Lovato,['Pop']
2016-02-06,41.0,No Role Modelz,J. Cole,['Hip Hop']
2016-02-06,42.0,Stand By You,Rachel Platten,
2016-02-06,43.0,Again,Fetty Wap,['Hip Hop']
2016-02-06,44.0,Home Alone Tonight,Luke Bryan ,['Country']
