date,rank,song_title,artist,genres
2018-03-24,1.0,God's Plan,Drake,['Hip Hop']
2018-03-24,2.0,Perfect,Ed Sheeran,['Pop']
2018-03-24,3.0,Finesse,Bruno Mars ,['Pop']
2018-03-24,4.0,Meant To Be,Bebe Re,['Pop']
2018-03-24,5.0,Psycho,Post Malone ,"['Pop', 'Hip Hop']"
2018-03-24,6.0,The Middle,"Zedd, Maren Morris ","['Electronic/Dance', 'Pop']"
2018-03-24,7.0,Havana,Camila Cabello ,['Pop']
2018-03-24,8.0,Pray For Me,The Weeknd ,['Pop']
2018-03-24,9.0,Look Alive,BlocBoy JB ,['Hip Hop']
2018-03-24,10.0,All The Stars,Kendrick Lamar ,['Hip Hop']
2018-03-24,11.0,Stir Fry,Migos,['Hip Hop']
2018-03-24,12.0,Rockstar,Post Malone ,"['Pop', 'Hip Hop']"
2018-03-24,13.0,Let You Down,NF,['Hip Hop']
2018-03-24,14.0,New Rules,Dua Lipa,['Pop']
2018-03-24,15.0,Ric Flair Drip,Offset ,['Hip Hop']
2018-03-24,16.0,Never Be The Same,Camila Cabello,['Pop']
2018-03-24,17.0,Mine,Bazzi,['Pop']
2018-03-24,18.0,Him & I,G-Eazy ,['Hip Hop']
2018-03-24,19.0,Sad!,,
2018-03-24,20.0,Thunder,Imagine Dragons,"['Rock', 'Pop']"
,,King's Dead,"Jay Rock, Kendrick Lamar, Future ",
2018-03-24,22.0,I Fall Apart,Post Malone,"['Pop', 'Hip Hop']"
2018-03-24,23.0,Lights Down Low,MA,
2018-03-24,24.0,Whatever It Takes,Imagine Dragons,"['Rock', 'Pop']"
2018-03-24,25.0,Plug Walk,Rich The Kid,['Hip Hop']
2018-03-24,26.0,Say Something,Justin Timberlake ,['Pop']
2018-03-24,27.0,Bad At Love,Halsey,['Pop']
2018-03-24,28.0,Feel It Still,Portugal. The Man,
2018-03-24,29.0,Everyday,Logic ,['Hip Hop']
2018-03-24,30.0,Marry Me,Thomas Rhett,['Country']
2018-03-24,31.0,Bartier Cardi,Cardi B ,"['Pop', 'Hip Hop']"
2018-03-24,32.0,Wait,Maroon 5,['Pop']
2018-03-24,33.0,Wolves,Selena Gomez ,['Pop']
2018-03-24,34.0,You Make It Easy,Jason Aldean,['Country']
2018-03-24,35.0,Outside Today,YoungBoy Never Broke Again,['Hip Hop']
2018-03-24,36.0,Heaven,Kane Brown,['Country']
2018-03-24,37.0,Love.,Kendrick Lamar ,['Hip Hop']
2018-03-24,38.0,How Long,Charlie Puth,['Pop']
2018-03-24,39.0,No Limit,G-Eazy ,['Hip Hop']
2018-03-24,40.0,MotorSport,"Migos, Nicki Minaj ",['Hip Hop']
2018-03-24,41.0,Friends,Marshmello ,"['Electronic/Dance', 'Pop']"
2018-03-24,42.0,Young Dumb & Broke,Khalid,['Pop']
2018-03-24,43.0,New Freezer,Rich The Kid ,['Hip Hop']
2018-03-24,44.0,Sky Walker,Miguel ,['R&B']
2018-03-24,45.0,Broken Halos,Chris Stapleton,
2018-03-24,46.0,44 More,Logic,['Hip Hop']
2018-03-24,47.0,Plain Jane,A$AP Ferg ,['Hip Hop']
2018-03-24,48.0,Sorry Not Sorry,Demi Lovato,['Pop']
2018-03-24,49.0,Top Off,DJ Khaled ,['Hip Hop']
2018-03-24,50.0,Billy,6i,
2018-03-24,51.0,Most People Are Good,Luke Bryan,['Country']
2018-03-24,52.0,Gummo,6i,
2018-03-24,53.0,Dura,Daddy Yankee,
2018-03-24,54.0,Zombie,Bad Wolves,
2018-03-24,55.0,Five More Minutes,Scotty McCreery,['Country']
2018-03-24,56.0,Indica Badu,Logic ,['Hip Hop']
2018-03-24,57.0,Singles You Up,Jordan Davis,
2018-03-24,58.0,Love Lies,Khalid ,['Pop']
2018-03-24,59.0,Changes,,
2018-03-24,60.0,Contra,Logic,['Hip Hop']
2018-03-24,61.0,Lemon,N*E*R*D ,['Hip Hop']
2018-03-24,62.0,Nowadays,Lil Skies ,
2018-03-24,63.0,NBAYoungboat,Lil Yachty ,['Hip Hop']
2018-03-24,64.0,IDGAF,Dua Lipa,['Pop']
2018-03-24,65.0,All On Me,Devin Dawson,
2018-03-24,66.0,El Farsante,Ozuna ,
2018-03-24,67.0,No Excuses,Meghan Trainor,['Pop']
2018-03-24,68.0,Overnight,Logic,['Hip Hop']
2018-03-24,69.0,Walk It Talk It,Migos ,['Hip Hop']
2018-03-24,70.0,Pick It Up,Famous De,['Hip Hop']
2018-03-24,71.0,X,Nicky Jam ,
2018-03-24,72.0,Hardaway,Derez De'Shon,
2018-03-24,73.0,66,Lil Yachty ,['Hip Hop']
2018-03-24,74.0,Midnight,Logic,['Hip Hop']
2018-03-24,75.0,Tell Me You Love Me,Demi Lovato,['Pop']
2018-03-24,76.0,Powerglide,Rae Sremmurd ,['Hip Hop']
2018-03-24,77.0,The Long Way,Brett Eldredge,['Country']
2018-03-24,78.0,Red Roses,Lil Skies ,
2018-03-24,79.0,Betrayed,Lil ,
2018-03-24,80.0,No Smoke,YoungBoy Never Broke Again,['Hip Hop']
2018-03-24,81.0,Written In The Sand,Old Dominion,['Country']
2018-03-24,82.0,I Like Me Better,Lauv,['Pop']
2018-03-24,83.0,Wassup,Logic ,['Hip Hop']
2018-03-24,84.0,Delicate,Taylor Swift,['Pop']
2018-03-24,85.0,River,Eminem ,['Hip Hop']
2018-03-24,86.0,When We,Tank,['R&B']
2018-03-24,87.0,Yuck,Logic,['Hip Hop']
2018-03-24,88.0,Boom!,Lil Yachty ,['Hip Hop']
